CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Location	Subregions	"Time Period (Month, Day, Year)"	fDOM (QSU) (WS) SA	fCHL (ug/L) (WS) SA	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	estDOC (mg-C/L) SA	estDIN (uM) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%) (EXO) SA	Turb (FNU) (EXO) SA	fDOM (QSU) (EXO) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA
A320	38.474381	-121.517249	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	21.09	3.04	2.40	0.93	16.67	3.32	20.19	115.23	0.0631	20.00	125.77	7.93	9.07	99.7	8.6	19.89	1.59	1.47	1.39	0.00	4.45
A307	38.475404	-121.54082	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.79	3.21	2.41	0.99	16.39	3.40	20.11	113.56	0.0623	19.94	124.17	7.92	9.07	99.7	9.1	19.57	1.67	1.48	1.45	0.00	4.59
A305	38.477082	-121.543789	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.74	3.25	2.39	0.96	16.34	3.35	20.11	113.41	0.0623	19.95	124.04	7.92	9.08	99.8	9.0	19.55	1.73	1.58	1.44	0.00	4.75
A303	38.479427	-121.545916	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.70	3.28	2.38	0.94	16.30	3.32	20.11	113.36	0.0622	19.95	123.91	7.93	9.08	99.8	8.9	19.55	1.78	1.69	1.43	0.00	4.89
A301	38.481865	-121.547946	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.65	3.31	2.43	0.90	16.26	3.33	20.10	113.50	0.0622	19.95	123.83	7.93	9.08	99.8	8.8	19.58	1.82	1.78	1.42	0.00	5.00
A299	38.484352	-121.549801	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.61	3.34	2.49	0.88	16.21	3.27	20.10	113.73	0.0621	19.95	123.86	7.93	9.08	99.8	8.8	19.60	1.84	1.82	1.41	0.00	5.05
A297	38.486881	-121.551614	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.58	3.36	2.53	0.87	16.19	3.17	20.10	113.92	0.0621	19.95	123.91	7.93	9.08	99.8	8.8	19.60	1.84	1.82	1.42	0.00	5.06
A295	38.489397	-121.553435	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.53	3.40	2.55	0.89	16.15	2.96	20.10	114.33	0.0621	19.95	124.10	7.93	9.08	99.8	8.8	19.61	1.83	1.80	1.42	0.00	5.03
A293	38.4919	-121.555293	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.51	3.42	2.54	0.89	16.12	2.98	20.11	114.65	0.0621	19.95	124.23	7.93	9.08	99.8	8.8	19.62	1.81	1.77	1.42	0.00	5.00
A291	38.494449	-121.557055	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.49	3.44	2.52	0.86	16.11	3.04	20.11	114.97	0.0622	19.95	124.35	7.93	9.08	99.8	8.8	19.62	1.80	1.74	1.43	0.00	4.95
A289	38.497045	-121.558743	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.46	3.48	2.48	0.81	16.08	3.08	20.11	115.44	0.0622	19.95	124.56	7.92	9.08	99.8	8.8	19.63	1.77	1.68	1.43	0.00	4.88
A287	38.499918	-121.559205	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.45	3.50	2.48	0.79	16.07	3.08	20.11	115.62	0.0623	19.95	124.64	7.92	9.08	99.8	8.9	19.63	1.76	1.66	1.43	0.00	4.86
A285	38.50276	-121.55861	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.44	3.51	2.48	0.77	16.06	3.07	20.11	115.77	0.0623	19.95	124.71	7.92	9.08	99.8	8.9	19.63	1.75	1.65	1.44	0.00	4.83
A283	38.505483	-121.557426	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.41	3.55	2.56	0.74	16.03	3.05	20.11	116.00	0.0623	19.95	124.79	7.92	9.08	99.8	8.9	19.64	1.74	1.62	1.44	0.00	4.79
A281	38.508171	-121.556007	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.40	3.56	2.59	0.74	16.02	3.05	20.11	116.07	0.0623	19.95	124.79	7.92	9.08	99.8	8.9	19.64	1.73	1.60	1.44	0.00	4.77
A279	38.510855	-121.554603	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.37	3.57	2.63	0.73	15.99	3.04	20.11	116.05	0.0622	19.95	124.78	7.92	9.08	99.7	8.9	19.64	1.72	1.59	1.44	0.00	4.76
A277	38.513341	-121.552679	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.31	3.55	2.72	0.73	15.94	3.02	20.11	116.01	0.0622	19.95	124.87	7.92	9.07	99.7	8.9	19.65	1.71	1.57	1.45	0.00	4.73
A275	38.514588	-121.549358	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.27	3.52	2.80	0.73	15.90	3.02	20.11	116.04	0.0622	19.95	124.92	7.92	9.07	99.7	8.9	19.65	1.71	1.56	1.45	0.00	4.72
A273	38.515533	-121.545888	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.24	3.47	2.85	0.74	15.87	3.01	20.11	116.11	0.0622	19.95	124.96	7.92	9.07	99.7	8.9	19.65	1.70	1.55	1.45	0.00	4.70
A271	38.516287	-121.542353	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.21	3.43	2.84	0.74	15.84	3.00	20.11	116.38	0.0622	19.95	125.11	7.92	9.07	99.7	9.0	19.65	1.70	1.55	1.45	0.00	4.69
A269	38.516859	-121.538746	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.13	3.38	2.73	0.75	15.77	3.00	20.11	116.53	0.0623	19.95	125.28	7.92	9.07	99.7	9.0	19.64	1.69	1.54	1.45	0.00	4.68
A267	38.517027	-121.535051	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.07	3.21	2.60	0.75	15.72	2.98	20.11	116.55	0.0623	19.95	125.35	7.92	9.07	99.7	9.0	19.64	1.69	1.53	1.45	0.00	4.67
A265	38.51727	-121.531369	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.10	2.95	2.66	0.76	15.74	2.98	20.11	116.64	0.0622	19.95	125.35	7.92	9.07	99.7	9.0	19.64	1.68	1.52	1.45	0.00	4.66
A263	38.517897	-121.527771	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.11	2.84	2.69	0.76	15.75	2.98	20.11	116.68	0.0622	19.95	125.37	7.92	9.07	99.7	9.0	19.64	1.68	1.52	1.45	0.00	4.66
A261	38.51954	-121.524721	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.13	2.81	2.67	0.76	15.77	2.97	20.11	116.80	0.0622	19.95	125.47	7.92	9.07	99.7	9.0	19.64	1.68	1.52	1.46	0.00	4.65
A259	38.522188	-121.524718	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.12	2.84	2.64	0.76	15.76	2.97	20.11	116.88	0.0622	19.95	125.48	7.92	9.07	99.7	9.0	19.64	1.68	1.52	1.46	0.00	4.65
A257	38.524317	-121.527155	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.11	2.80	2.63	0.76	15.75	2.96	20.11	116.93	0.0621	19.95	125.42	7.92	9.07	99.7	9.0	19.64	1.68	1.52	1.46	0.00	4.65
A255	38.526486	-121.52959	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.08	2.71	2.62	0.76	15.72	2.96	20.11	116.97	0.0621	19.95	125.40	7.92	9.07	99.7	9.0	19.64	1.68	1.52	1.46	0.00	4.65
A253	38.529088	-121.530983	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.01	2.59	2.74	0.76	15.66	2.96	20.11	117.12	0.0621	19.95	125.52	7.92	9.07	99.7	9.0	19.64	1.68	1.52	1.46	0.00	4.65
A251	38.531476	-121.529341	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	20.00	2.56	2.90	0.77	15.65	2.95	20.11	117.41	0.0620	19.95	125.61	7.92	9.07	99.7	9.0	19.64	1.68	1.51	1.46	0.00	4.64
A249	38.532771	-121.525968	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.98	2.58	2.94	0.77	15.63	2.95	20.11	117.59	0.0620	19.95	125.63	7.92	9.07	99.7	9.0	19.64	1.68	1.51	1.46	0.00	4.64
A247	38.533981	-121.522586	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.91	2.54	3.05	0.77	15.57	2.95	20.11	118.15	0.0621	19.95	125.79	7.92	9.07	99.7	9.0	19.63	1.68	1.51	1.46	0.00	4.64
A245	38.53536	-121.519392	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.88	2.59	3.23	0.77	15.53	2.94	20.11	118.76	0.0621	19.95	125.98	7.92	9.07	99.7	9.0	19.63	1.68	1.51	1.46	0.00	4.64
A243	38.537238	-121.516607	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.84	2.69	3.42	0.77	15.50	2.94	20.11	119.13	0.0623	19.95	126.10	7.92	9.07	99.7	9.0	19.63	1.68	1.51	1.46	0.00	4.64
A241	38.539417	-121.51419	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.81	2.73	3.55	0.77	15.47	2.94	20.11	119.42	0.0624	19.95	126.24	7.92	9.07	99.7	9.0	19.63	1.67	1.51	1.46	0.00	4.64
A239	38.541807	-121.512217	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.81	2.69	3.59	0.77	15.47	2.94	20.11	119.57	0.0625	19.95	126.34	7.92	9.07	99.7	9.0	19.63	1.67	1.51	1.46	0.00	4.64
A237	38.544541	-121.511299	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.83	2.59	3.52	0.77	15.49	2.93	20.11	119.60	0.0625	19.95	126.40	7.92	9.07	99.7	9.0	19.63	1.67	1.51	1.46	0.00	4.64
A235	38.547397	-121.511969	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.86	2.56	3.54	0.77	15.52	2.93	20.11	119.65	0.0624	19.95	126.40	7.92	9.07	99.7	9.0	19.63	1.67	1.51	1.46	0.00	4.64
A233	38.550128	-121.513075	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.86	2.58	3.59	0.77	15.52	2.93	20.11	119.67	0.0624	19.95	126.42	7.92	9.07	99.7	9.0	19.63	1.67	1.51	1.46	0.00	4.64
A231	38.552955	-121.513887	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.85	2.57	3.69	0.77	15.51	2.93	20.11	119.70	0.0624	19.95	126.52	7.92	9.07	99.7	9.0	19.63	1.67	1.51	1.46	0.00	4.64
A229	38.555769	-121.514888	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.79	2.53	3.78	0.77	15.45	2.93	20.11	119.76	0.0624	19.95	126.59	7.92	9.07	99.7	9.0	19.63	1.67	1.51	1.46	0.00	4.64
A227	38.558451	-121.516142	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.78	2.52	3.78	0.77	15.44	2.93	20.11	119.93	0.0624	19.95	126.94	7.92	9.07	99.7	9.0	19.63	1.67	1.51	1.46	0.00	4.64
A225	38.560922	-121.51814	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.79	2.54	3.76	0.77	15.45	2.93	20.11	120.17	0.0623	19.95	127.46	7.92	9.07	99.7	9.0	19.63	1.67	1.51	1.46	0.00	4.64
A223	38.562858	-121.520588	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	19.81	2.54	3.74	0.77	15.47	2.93	20.11	120.38	0.0623	19.95	127.95	7.92	9.07	99.7	9.0	19.63	1.67	1.51	1.46	0.00	4.64
A3248	38.166378	-121.493362	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.91	2.51	4.60	1.22	18.37	5.82	20.78	118.41	0.0641	20.69	127.13	7.85	8.80	98.1	3.8	20.13	1.09	1.19	1.04	0.00	3.32
A3245	38.170279	-121.49587	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	27.41	2.79	10.54	8.84	22.57	19.38	21.59	139.90	0.0738	21.52	148.11	7.83	9.00	102.0	2.9	26.50	1.68	0.84	0.88	0.00	3.41
A3207	38.209702	-121.489602	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	20.19	3.14	5.98	3.57	15.83	9.55	22.06	89.92	0.0491	22.02	90.82	7.70	8.84	101.2	4.2	19.42	2.27	0.92	1.11	0.00	4.29
A3090	38.228413	-121.493868	North Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	25.20	2.69	9.74	15.19	20.50	24.89	20.92	132.22	0.0708	20.86	141.38	7.84	9.12	102.0	5.9	24.20	0.72	0.84	1.38	0.00	2.95
A3098	38.224314	-121.506121	North Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	25.58	2.74	9.44	17.41	20.85	26.82	20.65	132.32	0.0712	20.59	142.30	7.77	8.83	98.3	6.4	24.35	0.66	0.76	1.25	0.00	2.67
A3092	38.227523	-121.496661	North Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	25.21	2.72	9.72	14.51	20.51	24.14	20.94	132.57	0.0710	20.88	141.61	7.86	9.18	102.8	6.0	24.21	0.75	0.86	1.40	0.00	3.03
A3190	38.227242	-121.49227	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	25.17	2.66	9.67	15.80	20.47	25.49	20.87	131.66	0.0706	20.81	140.98	7.82	9.03	101.0	6.0	24.13	0.71	0.80	1.32	0.00	2.85
A3091	38.227503	-121.494888	North Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	25.20	2.69	9.74	15.19	20.50	24.89	20.92	132.22	0.0708	20.86	141.38	7.84	9.12	102.0	5.9	24.20	0.72	0.84	1.38	0.00	2.95
A3249	38.165302	-121.492463	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	28.93	3.00	10.05	8.80	23.99	18.85	21.58	141.04	0.0744	21.52	149.38	7.80	8.92	101.2	3.5	28.05	1.78	0.85	1.01	0.00	3.68
A3250	38.164094	-121.492975	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	28.92	3.03	9.70	9.23	23.99	18.95	21.47	141.00	0.0745	21.40	148.94	7.78	8.79	99.4	3.9	28.01	1.69	0.85	1.07	0.00	3.63
A3225	38.192781	-121.480885	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.30	2.63	9.35	8.59	18.73	17.94	21.27	127.68	0.0682	21.18	137.56	7.85	8.89	100.2	3.4	22.59	1.45	0.75	1.07	0.01	3.28
A3224	38.193733	-121.479366	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	22.59	2.89	8.65	7.75	18.07	16.39	21.43	115.75	0.0622	21.31	127.19	7.83	8.81	99.5	3.6	21.93	1.83	0.80	1.08	0.01	3.72
A3230	38.187006	-121.485777	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.66	2.43	9.58	8.45	19.06	18.03	21.22	129.63	0.0692	21.15	137.78	7.94	9.08	102.2	3.2	22.92	1.32	0.74	0.92	0.02	3.00
A3226	38.191435	-121.48154	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.30	2.63	9.35	8.59	18.73	17.94	21.27	127.68	0.0682	21.18	137.56	7.85	8.89	100.2	3.4	22.59	1.45	0.75	1.07	0.01	3.28
A3233	38.183194	-121.488291	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.73	2.39	9.83	8.50	19.13	18.32	21.26	129.34	0.0690	21.21	137.39	8.02	9.26	104.4	3.1	23.03	1.25	0.76	0.93	0.01	2.95
A3232	38.184363	-121.487177	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.74	2.40	9.73	8.49	19.14	18.22	21.24	129.94	0.0693	21.18	137.94	7.99	9.17	103.2	3.1	22.99	1.29	0.75	0.93	0.01	2.99
A3236	38.180766	-121.492282	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.93	2.37	10.28	9.05	19.32	19.33	21.40	130.14	0.0692	21.33	138.05	8.03	9.45	106.7	2.9	23.23	1.14	0.76	0.94	0.00	2.86
A3241	38.175831	-121.497466	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	25.00	2.45	10.69	9.64	20.31	20.33	21.48	134.70	0.0714	21.40	143.49	7.87	9.07	102.6	2.7	24.29	1.36	0.77	0.83	0.00	2.99
A3231	38.185609	-121.486265	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.66	2.43	9.58	8.45	19.06	18.03	21.22	129.63	0.0692	21.15	137.78	7.94	9.08	102.2	3.2	22.92	1.32	0.74	0.92	0.02	3.00
A3234	38.181926	-121.489273	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.84	2.38	9.98	8.52	19.23	18.49	21.31	129.82	0.0692	21.27	137.65	8.06	9.39	105.9	3.0	23.10	1.21	0.77	0.95	0.01	2.95
A3247	38.167596	-121.494231	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	28.57	2.94	10.40	8.41	23.65	18.81	21.66	140.94	0.0742	21.59	149.15	7.82	9.00	102.2	3.0	27.67	1.81	0.86	0.93	0.00	3.63
A3240	38.177268	-121.497548	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.35	2.38	10.62	9.70	19.71	20.33	21.44	132.22	0.0702	21.36	141.05	7.88	9.09	102.8	2.8	23.69	1.25	0.74	0.84	0.01	2.87
A3242	38.174441	-121.497015	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	25.75	2.54	10.71	9.49	21.01	20.20	21.51	137.10	0.0725	21.44	145.76	7.86	9.07	102.7	2.8	24.95	1.46	0.80	0.84	0.00	3.12
A3235	38.181006	-121.490418	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.01	2.38	10.19	8.74	19.39	18.93	21.40	130.32	0.0693	21.35	138.08	8.08	9.55	107.9	2.9	23.28	1.16	0.78	0.96	0.00	2.92
A3228	38.189265	-121.483799	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.44	2.53	9.29	8.33	18.86	17.62	21.27	129.30	0.0690	21.18	137.43	7.88	8.98	101.2	3.3	22.72	1.38	0.74	0.98	0.02	3.14
A3237	38.179899	-121.493934	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.91	2.36	10.39	9.40	19.30	19.79	21.39	130.18	0.0693	21.31	138.41	7.96	9.29	104.9	2.9	23.23	1.15	0.74	0.90	0.01	2.82
A3243	38.173017	-121.496927	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	25.75	2.54	10.71	9.49	21.01	20.20	21.51	137.10	0.0725	21.44	145.76	7.86	9.07	102.7	2.8	24.95	1.46	0.80	0.84	0.00	3.12
A3227	38.19017	-121.482397	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.51	2.52	9.44	8.60	18.92	18.04	21.24	131.08	0.0698	21.16	139.39	7.87	8.96	100.8	3.3	22.76	1.35	0.73	1.01	0.02	3.12
A3229	38.188462	-121.485242	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.58	2.47	9.44	8.48	18.99	17.91	21.23	130.54	0.0696	21.14	138.58	7.90	9.00	101.3	3.3	22.82	1.34	0.73	0.95	0.02	3.05
A3244	38.171575	-121.496481	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	26.52	2.65	10.66	9.24	21.73	19.90	21.54	138.72	0.0733	21.48	147.15	7.85	9.05	102.5	2.8	25.64	1.57	0.82	0.85	0.00	3.26
A3239	38.178163	-121.496242	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.35	2.38	10.62	9.70	19.71	20.33	21.44	132.22	0.0702	21.36	141.05	7.88	9.09	102.8	2.8	23.69	1.25	0.74	0.84	0.01	2.87
A3238	38.178896	-121.495001	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.31	2.40	10.50	9.45	19.67	19.95	21.44	131.82	0.0700	21.36	140.18	7.95	9.28	104.9	2.8	23.61	1.22	0.76	0.89	0.00	2.90
A3246	38.168906	-121.495217	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	28.57	2.94	10.40	8.41	23.65	18.81	21.66	140.94	0.0742	21.59	149.15	7.82	9.00	102.2	3.0	27.67	1.81	0.86	0.93	0.00	3.63
A3367	38.108413	-121.574136	Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.60	1.88	10.27	7.40	19.01	17.68	21.25	129.06	0.0688	21.19	137.15	7.96	9.47	106.6	3.2	22.57	0.57	0.71	0.77	0.00	2.08
A3365	38.109471	-121.577564	Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.62	2.15	10.27	8.13	19.03	18.45	21.16	128.73	0.0688	21.09	137.12	7.90	9.19	103.3	3.1	22.74	0.64	0.71	1.02	0.00	2.40
A4177	38.110618	-121.500507	Little Potato Slough	Mokelumne Tidal Transition Zone	9/10/2019	27.83	3.00	11.27	5.65	22.96	16.96	21.81	133.14	0.0702	21.74	139.81	7.87	8.82	100.4	2.2	26.78	1.78	0.80	1.06	0.00	3.60
A3363	38.110623	-121.580969	Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.78	2.51	10.20	8.80	19.18	19.01	21.11	128.53	0.0688	21.03	137.03	7.84	8.92	100.2	2.9	22.95	0.72	0.73	1.31	0.00	2.77
A4175	38.112947	-121.49837	Little Potato Slough	Mokelumne Tidal Transition Zone	9/10/2019	27.42	3.04	11.07	5.32	22.57	16.42	21.88	133.30	0.0702	21.84	139.93	7.85	8.72	99.3	2.1	26.44	1.86	0.82	1.02	0.00	3.67
A3361	38.112732	-121.583548	Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.91	2.60	10.21	9.49	19.30	19.70	21.03	128.14	0.0687	20.95	136.86	7.81	8.72	97.7	2.8	23.16	0.71	0.74	1.38	0.00	2.83
A3297	38.116134	-121.501598	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	27.84	2.96	11.88	6.84	22.96	18.68	21.61	132.53	0.0702	21.55	139.93	7.88	8.86	100.4	2.1	26.99	1.51	0.71	1.10	0.02	3.35
A3295	38.11614	-121.497913	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	27.34	2.99	11.57	6.24	22.50	17.78	21.72	132.80	0.0702	21.70	140.01	7.85	8.74	99.3	2.1	26.50	1.63	0.74	1.05	0.01	3.45
A3325	38.116781	-121.548842	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.43	2.28	11.18	12.15	19.78	23.39	20.95	130.72	0.0701	20.88	139.78	7.97	9.17	102.7	3.4	23.78	0.80	0.72	1.04	0.01	2.59
A3358	38.11695	-121.584794	Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.02	2.36	10.36	9.91	19.40	20.27	21.00	127.67	0.0685	20.92	136.46	7.85	8.78	98.4	2.8	23.34	0.62	0.76	1.20	0.00	2.57
A3299	38.116567	-121.505194	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	28.28	2.83	12.32	7.73	23.37	20.05	21.40	132.10	0.0702	21.34	139.48	7.92	8.99	101.5	2.2	27.24	1.26	0.65	1.15	0.02	3.08
A3327	38.116935	-121.552498	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.59	2.20	10.81	13.65	19.93	24.51	20.83	130.87	0.0703	20.77	140.20	7.85	8.92	99.6	3.9	23.87	0.65	0.75	1.01	0.00	2.42
A3323	38.117383	-121.545211	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.30	2.35	11.24	10.63	19.66	21.91	20.97	130.66	0.0700	20.93	139.61	8.07	9.29	104.1	3.0	23.69	0.88	0.69	1.06	0.02	2.66
A3293	38.117866	-121.495043	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	26.85	3.03	11.44	6.14	22.04	17.62	21.75	132.97	0.0702	21.82	140.19	7.81	8.62	98.1	1.9	26.03	1.64	0.75	1.02	0.02	3.44
A3329	38.117476	-121.556122	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.46	2.07	11.13	14.55	19.81	25.68	20.84	129.60	0.0696	20.79	138.60	7.80	8.82	98.5	3.3	23.82	0.59	0.74	0.94	0.00	2.27
A3301	38.118025	-121.508461	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	26.37	2.62	12.46	7.94	21.59	20.40	21.32	130.96	0.0697	21.27	138.34	7.95	9.06	102.2	2.2	25.32	1.07	0.63	1.12	0.03	2.85
A3321	38.117897	-121.54159	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.19	2.15	11.09	10.48	19.56	21.57	20.87	130.66	0.0701	20.83	139.99	7.93	8.93	99.9	3.0	23.60	0.71	0.69	0.96	0.01	2.38
A3319	38.118731	-121.538108	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.09	2.13	10.96	10.32	19.46	21.28	20.86	130.61	0.0701	20.81	140.04	7.88	8.82	98.6	2.9	23.52	0.70	0.68	0.95	0.01	2.35
A3331	38.1191	-121.559307	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.39	2.08	10.97	14.83	19.75	25.79	20.83	128.95	0.0693	20.77	138.05	7.79	8.76	97.8	3.3	23.79	0.59	0.73	0.94	0.00	2.27
A3317	38.119324	-121.53452	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.82	2.14	10.67	9.15	19.21	19.82	20.87	130.51	0.0700	20.82	139.89	7.85	8.77	98.1	2.7	23.22	0.73	0.67	0.95	0.00	2.36
A3356	38.119812	-121.584171	Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.03	2.23	10.53	10.09	19.41	20.63	21.02	127.49	0.0684	20.94	136.23	7.89	8.96	100.5	2.9	23.37	0.63	0.76	1.13	0.00	2.54
A3303	38.120165	-121.511061	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	25.21	2.55	12.44	7.84	20.51	20.24	21.34	130.26	0.0694	21.29	138.12	7.95	9.11	102.8	2.1	24.50	1.04	0.62	1.10	0.04	2.80
A3315	38.120669	-121.531263	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.58	2.17	10.50	8.12	18.99	18.74	20.87	130.42	0.0700	20.82	139.77	7.84	8.73	97.7	2.6	23.04	0.74	0.66	0.96	0.00	2.36
A3289	38.121902	-121.498809	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	26.85	2.80	12.38	8.03	22.04	20.39	21.51	132.00	0.0700	21.47	139.66	7.90	8.94	101.2	2.2	26.00	1.21	0.63	1.12	0.04	2.99
A3333	38.12191	-121.560354	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	24.33	2.06	10.83	14.82	19.69	25.65	20.82	128.34	0.0690	20.77	137.55	7.79	8.75	97.7	3.4	23.72	0.60	0.72	0.93	0.00	2.26
A3313	38.121845	-121.527892	South Mokelumne River	Mokelumne Tidal Transition Zone	9/10/2019	23.59	2.21	10.45	7.76	19.00	18.49	20.87	130.38	0.0700	20.82	139.76	7.84	8.70	97.3	2.6	22.99	0.75	0.66	0.97	0.00	2.40
