Timestamp (PST) DS	Station Abbrev. DS	"NWIS Station Latitude (Decimal Degrees, NAD83)"	"NWIS Station Longitude (Decimal Degrees, NAD83)"	Division DS	Genus DS	Species DS	Tally DS	Density (cells/L) DS	Biovolume (um3/L) DS	Notes DS
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Chlorophyta	Lagerheimia	Lagerheimia sp.	1	9	201.59	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Thalassiosira	Thalassiosira spp.	3	26	3870.56	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Chlorophyta	Drepanochloris	Drepanochloris nannoselene	3	26	294.83	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Cocconeis	Cocconeis sp.	1	9	3427.06	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Bacillariophyta	Cyclotella	cf. Cyclotella sp.	9	77	4535.82	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Pseudostaurosira	Pseudostaurosira brevistriata	2	17	1330.51	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Bacillariophyta	Navicula	Navicula spp.	6	51	51607.51	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Chlorophyta	Monoraphidium	Monoraphidium sp.	3	26	94.08	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Achnanthidium	Achnanthidium minutissimum	1	9	349.43	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Bacillariophyta	Thalassiosira	Thalassiosira sp.	1	9	4542.54	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Fragilaria	Fragilaria sp.	1	9	4334.22	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Aulacoseira	Aulacoseira spp.	4	34	12579.33	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Cryptophyta	Plagioselmis	Plagioselmis prolonga	5	43	3628.65	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Cyanobacteria	Microcystis	Microcystis sp.	694	278	25526.20	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Miozoa	Peridinium	Peridinium sp.	1	9	38813.15	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Craticula	Craticula sp.	1	9	2902.92	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Cyclotella	Cyclotella sp.	3	26	1511.94	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Chlorophyta	Monoraphidium	Monoraphidium sp.	1	9	215.03	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Bacillariophyta	Cyclotella	Cyclotella meneghiniana	1	9	6719.73	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Sellaphora	Sellaphora sp.	2	17	8213.60	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Achnanthidium	Achnanthidium sp.	1	9	201.59	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Nitzschia	Nitzschia cf. subacicularis	1	9	2079.07	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Chlorophyta	Scenedesmus	Scenedesmus spp.	6	51	1451.46	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Cryptophyta	Hemiselmis	cf. Hemiselmis sp.	1	9	201.59	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Ochrophyta	Pseudokephyrion	Pseudokephyrion spp.	2	17	483.82	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Eunotia	Eunotia sp.	1	9	5456.42	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Nitzschia	Nitzschia spp.	5	43	2481.19	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Bacillariophyta	Aulacoseira	Aulacoseira sp.	11	94	93135.42	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Cyanobacteria	Aphanizomenon	cf. Aphanizomenon sp.	28	11	237.51	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Achnanthidium	Achnanthidium spp.	4	34	1774.01	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Chlorophyta	Scenedesmus	Scenedesmus sp.	4	29	1369.19	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Navicula	Navicula sp.	1	9	8063.67	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Humidophila	Humidophila contenta	1	9	403.18	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Cyanobacteria	Aphanizomenon	Aphanizomenon sp.	46	334	11809.29	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Nitzschia	Nitzschia spp.	5	43	1625.61	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Chlorophyta	Kirchneriella	Kirchneriella sp.	2	17	215.03	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Encyonema	Encyonema silesiacum	2	17	3879.15	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Cocconeis	Cocconeis sp.	3	26	16087.03	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Cyanobacteria	Cuspidothrix	Cuspidothrix sp.	17	145	2741.65	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Nitzschia	Nitzschia spp.	23	197	22138.21	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Gomphonema	Gomphonema sp.	1	9	2836.82	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Bacillaria	Bacillaria paxillifera	35	299	261423.38	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Reimeria	Reimeria sinuata	1	9	524.14	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Navicula	Navicula sp.	3	26	5140.59	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Achnanthidium	Achnanthidium minutissimum	7	60	2069.68	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Gomphoneis	Gomphoneis sp.	1	9	8144.94	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Cyclotella	Cyclotella spp.	2	17	4300.63	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Diatoma	Diatoma sp.	1	9	1814.33	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Ochrophyta	Pseudokephyrion	Pseudokephyrion sp.	1	9	671.97	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Lindavia	Lindavia bodanica	1	9	33598.64	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Ochrophyta	Chrysococcus	Chrysococcus sp.	2	17	1791.93	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Skeletonema	Skeletonema sp.	2	17	1693.37	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Nitzschia	Nitzschia dissipata	1	9	1347.54	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Achnanthidium	Achnanthidium spp.	2	17	645.09	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Achnanthidium	Achnanthidium minutissimum	7	60	3104.51	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Fragilaria	Fragilaria spp.	4	34	16933.71	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Chlorophyta	Chlorella	cf. Chlorella sp.	1	9	35.84	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Aulacoseira	Aulacoseira sp.	1	7	9127.95	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Ochrophyta	Pseudokephyrion	Pseudokephyrion pseudospirale	3	26	1612.73	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Pseudostaurosira	Pseudostaurosira brevistriata	6	51	4112.47	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Achnanthidium	Achnanthidium sp.	3	26	2419.10	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Cryptophyta	Plagioselmis	Plagioselmis prolonga	2	17	1612.73	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Cyanobacteria	Cylindrospermopsis	cf. Cylindrospermopsis sp.	20	171	1612.73	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Nitzschia	Nitzschia inconspicua	5	43	1026.70	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Diatoma	Diatoma vulgaris	1	7	13977.18	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Nitzschia	Nitzschia spp.	16	137	3011.65	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Chlorophyta	Scenedesmus	Scenedesmus sp.	4	34	430.06	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Thalassiosira	cf. Thalassiosira spp.	24	205	8063.67	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Pseudostaurosira	Pseudostaurosira brevistriata	1	9	604.78	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Nitzschia	Nitzschia inconspicua	2	17	513.35	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Craticula	Craticula sp.	1	9	2217.51	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Gomphonema	Gomphonema sp.	4	34	9325.59	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Staurosira	Staurosira venter	1	9	806.37	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Nitzschia	Nitzschia brevissima	1	9	1925.06	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Cocconeis	Cocconeis sp.	7	60	43463.20	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Geissleria	Geissleria sp.	2	15	4518.34	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Gyrosigma	Gyrosigma sp.	1	9	31981.69	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Epithemia	Epithemia sp.	1	9	2395.87	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Euglenophyta	Euglena	Euglena sp.	1	9	4031.84	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Cocconeis	Cocconeis sp.	8	68	28384.13	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Fragilaria	Fragilaria sp.	2	17	2902.92	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Staurosirella	Staurosirella pinnata	3	26	907.16	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Sellaphora	Sellaphora sp.	23	197	83633.24	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Navicula	Navicula reinhardtii	1	9	37012.26	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Thalassiosira	cf. Thalassiosira spp.	9	77	6531.57	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Planothidium	Planothidium spp.	2	17	3386.74	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Melosira	Melosira sp.	3	26	53663.74	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Navicula	Navicula spp.	2	17	22040.71	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Navicula	Navicula capitatoradiata	1	7	8443.36	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Cryptophyta	Cryptomonas	Cryptomonas sp.	1	9	9855.60	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Thalassiosira	Thalassiosira sp.	1	9	2015.92	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Geissleria	Geissleria sp.	1	9	6450.94	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Cryptophyta	Plagioselmis	Plagioselmis prolonga	3	26	2177.19	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Thalassiosira	Thalassiosira spp.	5	43	6450.94	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Bacillaria	Bacillaria paxillifera	1	9	22074.04	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Cyclotella	Cyclotella meneghiniana	2	17	13170.67	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Amphora	Amphora sp.	2	17	228.17	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Ulnaria	Ulnaria sp.	7	60	269246.03	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Chlorophyta	Monoraphidium	Monoraphidium spp.	3	26	752.61	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Cryptophyta	Cryptomonas	Cryptomonas sp.	1	9	20441.41	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Planothidium	Planothidium sp.	3	26	3084.35	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Cyanobacteria	Planktolyngbya	cf. Planktolyngbya sp.	39	283	360.44	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Ochrophyta	Chrysococcus	Chrysococcus sp.	1	9	1290.19	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Staurosira	Staurosira venter	2	17	2015.92	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Chlorophyta	Drepanochloris	Drepanochloris nannoselene	2	17	376.30	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Diadesmis	Diadesmis sp.	4	29	9127.95	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Bacillariophyta	Ulnaria	Ulnaria sp.	1	9	104935.26	Cannot meet tally in 50 fields.
9/12/2019 9:20	NEW HOPE	38.22555556	-121.4911111	Chlorophyta	Coenochloris	cf. Coenochloris sp.	16	137	8959.64	Cannot meet tally in 50 fields.
9/11/2019 11:30	NEW HOPE	38.22555556	-121.4911111	Chlorophyta	Scenedesmus	Scenedesmus spp.	10	86	716.77	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Bacillariophyta	Nitzschia	Nitzschia inconspicua	9	77	1694.05	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Bacillariophyta	Psammothidium	Psammothidium sp.	1	9	1108.76	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Bacillariophyta	Gomphoneis	Gomphoneis spp.	2	17	62969.23	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Bacillariophyta	Reimeria	Reimeria sinuata	1	9	786.21	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Bacillariophyta	Nitzschia	Nitzschia dissipata	2	17	2079.07	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Bacillariophyta	Cyclotella	Cyclotella meneghiniana	2	17	9757.04	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Cyanobacteria	Planktolyngbya	Planktolyngbya sp.	30	12	16.96	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Bacillariophyta	Humidophila	Humidophila contenta	1	9	604.78	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Bacillariophyta	Navicula	Navicula capitatoradiata	1	9	9407.62	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Bacillariophyta	Fragilaria	Fragilaria tenera	1	7	1894.05	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Chlorophyta	Monoraphidium	Monoraphidium sp.	1	9	76.16	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Cryptophyta	Plagioselmis	Plagioselmis prolonga	2	17	3583.85	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Bacillariophyta	Epithemia	Epithemia sp.	1	9	125501.81	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Bacillariophyta	Navicula	Navicula cf. tripunctata	1	9	10751.56	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Bacillariophyta	Nitzschia	Nitzschia inconspicua	8	68	1642.72	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Bacillariophyta	Craticula	Craticula sp.	1	9	2116.71	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Bacillariophyta	Ulnaria	Ulnaria sp.	2	17	344157.55	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Bacillariophyta	Staurosira	Staurosira cf. venter	1	9	645.09	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Bacillariophyta	Amphora	Amphora sp.	2	17	136.90	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Bacillariophyta	Cymbella	Cymbella affinis	1	9	4564.04	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Bacillariophyta	Nitzschia	Nitzschia spp.	7	60	5120.66	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Bacillariophyta	Cymbella	Cymbella cf. affinis	1	9	3308.68	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Bacillariophyta	Encyonema	Encyonema silesiacum	1	7	4238.08	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Ochrophyta	Pseudokephyrion	Pseudokephyrion sp.	2	17	806.37	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Bacillariophyta	Fragilaria	Fragilaria sp.	2	17	11759.52	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Bacillariophyta	Thalassiosira	Thalassiosira spp.	5	43	10079.59	Cannot meet tally in 50 fields.
9/11/2019 9:55	NFM	38.22333333	-121.5072222	Bacillariophyta	Thalassiosira	cf. Thalassiosira spp.	13	111	4367.82	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Bacillariophyta	Navicula	Navicula sp.	2	17	12901.88	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Bacillariophyta	Gomphoneis	Gomphoneis sp.	1	7	3215.68	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Bacillariophyta	Rhoicosphenia	Rhoicosphenia sp.	2	15	7455.74	Cannot meet tally in 50 fields.
9/10/2019 15:50	NFM	38.22333333	-121.5072222	Chlorophyta	Monoraphidium	Monoraphidium tortile	1	9	573.42	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Chlorophyta	Scenedesmus	Scenedesmus sp.	8	58	730.24	Cannot meet tally in 50 fields.
9/12/2019 8:45	NFM	38.22333333	-121.5072222	Bacillariophyta	Pseudostaurosira	Pseudostaurosira brevistriata	12	103	5805.84	Cannot meet tally in 50 fields.
