CL ID,"Time Period (Month, Year)","Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Grouping,NH4 (μM) DIFF,NO3 (μM) DIFF,PO4 (μM) DIFF,DIN (μM) DIFF,TDN (μM) DIFF
204,July-Oct,37.857293,-121.550315,Coney Island,-1.14,-25.87,-0.87,-27.01,-23.93
205,July-Oct,37.858572,-121.551133,Coney Island,-1.13,-26.22,-1.04,-27.34,-24.55
206,July-Oct,37.858863,-121.552811,Coney Island,-1.1,-25.41,-1.01,-26.51,-23.73
207,July-Oct,37.851436,-121.561593,West Canal,-0.78,-16.52,-0.27,-17.3,-14.07
208,July-Oct,37.850045,-121.561077,West Canal,-0.75,-15.94,-0.21,-16.69,-13.46
209,July-Oct,37.848659,-121.56054,West Canal,-0.75,-15.94,-0.21,-16.69,-13.46
210,July-Oct,37.847279,-121.559979,West Canal,-0.73,-15.37,-0.16,-16.1,-12.87
211,July-Oct,37.845921,-121.559341,West Canal,-0.75,-15.01,-0.16,-15.76,-12.53
212,July-Oct,37.844553,-121.558736,West Canal,-0.75,-15.01,-0.16,-15.76,-12.53
213,July-Oct,37.843167,-121.558194,West Canal,-0.8,-14.63,-0.15,-15.43,-12.17
214,July-Oct,37.841784,-121.557644,West Canal,-0.85,-14.65,-0.15,-15.5,-12.21
215,July-Oct,37.840402,-121.557093,West Canal,-0.85,-14.65,-0.15,-15.5,-12.21
216,July-Oct,37.839017,-121.556547,West Canal,-0.87,-14.75,-0.15,-15.62,-12.33
217,July-Oct,37.837623,-121.556045,West Canal,-0.87,-14.9,-0.15,-15.78,-12.51
218,July-Oct,37.836246,-121.555474,West Canal,-0.78,-17.18,-0.17,-17.96,-14.6
219,July-Oct,37.834858,-121.554945,West Canal,-0.78,-17.18,-0.17,-17.96,-14.6
220,July-Oct,37.833473,-121.554404,West Canal,-0.8,-16.91,-0.16,-17.71,-14.43
221,July-Oct,37.83209,-121.553852,West Canal,-0.84,-16.31,-0.16,-17.15,-13.98
222,July-Oct,37.830706,-121.553311,West Canal,-0.77,-18.59,-0.17,-19.35,-16
223,July-Oct,37.858471,-121.554812,Coney Island,-1.07,-24.04,-0.93,-25.1,-22.29
224,July-Oct,37.858112,-121.556529,Coney Island,-1,-21.66,-0.71,-22.66,-19.67
225,July-Oct,37.858594,-121.558243,Coney Island,-1,-20.02,-0.66,-21.02,-17.98
226,July-Oct,37.858935,-121.559967,Coney Island,-0.96,-17.83,-0.48,-18.79,-15.64
227,July-Oct,37.857943,-121.561262,Coney Island,-0.91,-17.62,-0.43,-18.53,-15.32
228,July-Oct,37.856726,-121.562252,Coney Island,-0.88,-15.78,-0.27,-16.65,-13.34
229,July-Oct,37.855366,-121.562152,Coney Island,-0.83,-15.72,-0.25,-16.56,-13.2
230,July-Oct,37.854113,-121.561281,Coney Island,-0.82,-16.91,-0.32,-17.73,-14.48
231,July-Oct,37.852762,-121.562025,Old River,-0.79,-15.65,-0.22,-16.45,-13.11
232,July-Oct,37.864057,-121.573895,Italian Slough,-1.08,-11.73,0.29,-12.81,-10.81
233,July-Oct,37.863154,-121.575319,Italian Slough,-1.08,-11.73,0.29,-12.81,-10.81
234,July-Oct,37.862516,-121.576956,Italian Slough,-1.08,-11.76,0.3,-12.84,-10.84
262,July-Oct,37.864637,-121.572208,Old River,-1.08,-11.84,0.27,-12.92,-10.92
263,July-Oct,37.863412,-121.571229,Old River,-1.06,-11.46,0.23,-12.52,-10.28
264,July-Oct,37.862184,-121.570259,Old River,-1.02,-11.41,0.22,-12.43,-9.97
265,July-Oct,37.860971,-121.569266,Old River,-1,-11.66,0.15,-12.66,-9.98
266,July-Oct,37.859877,-121.568065,Old River,-0.94,-11.83,0.13,-12.78,-9.83
267,July-Oct,37.858772,-121.566884,Old River,-0.92,-12.67,0.02,-13.6,-10.47
268,July-Oct,37.857599,-121.565809,Old River,-0.88,-13.04,0.01,-13.92,-10.61
269,July-Oct,37.856383,-121.564814,Old River,-0.82,-14.45,-0.12,-15.28,-11.84
270,July-Oct,37.855094,-121.56398,Old River,-0.82,-14.45,-0.12,-15.28,-11.84
271,July-Oct,37.853885,-121.562971,Old River,-0.79,-15.65,-0.22,-16.45,-13.11
272,July-Oct,37.888981,-121.490394,Victoria Canal,-1,-30.24,-1.25,-31.24,-28.8
273,July-Oct,37.888276,-121.49199,Victoria Canal,-1.1,-29.64,-1.26,-30.75,-28.67
274,July-Oct,37.887594,-121.493604,Victoria Canal,-1.1,-29.64,-1.26,-30.75,-28.67
275,July-Oct,37.886886,-121.495201,Victoria Canal,-1.13,-29.42,-1.27,-30.55,-28.65
276,July-Oct,37.886195,-121.49681,Victoria Canal,-1.16,-29.67,-1.28,-30.82,-29.03
277,July-Oct,37.885516,-121.498427,Victoria Canal,-1.13,-29.95,-1.29,-31.08,-29.26
278,July-Oct,37.884835,-121.500042,Victoria Canal,-1.09,-30.23,-1.3,-31.33,-29.53
279,July-Oct,37.884141,-121.501649,Victoria Canal,-1.09,-30.32,-1.31,-31.42,-29.61
280,July-Oct,37.883447,-121.503255,Victoria Canal,-1.08,-30.36,-1.32,-31.45,-29.67
281,July-Oct,37.882804,-121.504888,Victoria Canal,-1.1,-30.2,-1.33,-31.3,-29.45
282,July-Oct,37.88265,-121.50668,Victoria Canal,-1.14,-29.71,-1.34,-30.85,-28.7
283,July-Oct,37.88251,-121.508463,Victoria Canal,-1.18,-29.07,-1.34,-30.25,-27.7
284,July-Oct,37.881507,-121.509755,Victoria Canal,-1.22,-27.94,-1.36,-29.17,-25.95
285,July-Oct,37.880386,-121.510885,Victoria Canal,-1.22,-27.94,-1.36,-29.17,-25.95
286,July-Oct,37.879636,-121.51245,Victoria Canal,-1.22,-27.65,-1.36,-28.86,-25.55
287,July-Oct,37.878929,-121.514048,Victoria Canal,-1.2,-28.01,-1.37,-29.21,-26.22
288,July-Oct,37.878239,-121.515657,Victoria Canal,-1.16,-27.87,-1.37,-29.02,-25.96
289,July-Oct,37.877549,-121.517266,Victoria Canal,-1.11,-28.31,-1.37,-29.42,-26.7
290,July-Oct,37.876861,-121.518876,Victoria Canal,-1.07,-28.64,-1.38,-29.71,-27.27
291,July-Oct,37.876177,-121.52049,Victoria Canal,-1.04,-28.25,-1.38,-29.3,-26.7
292,July-Oct,37.875492,-121.522103,Victoria Canal,-1.07,-27.91,-1.39,-28.98,-26.23
293,July-Oct,37.87481,-121.523717,Victoria Canal,-1.07,-27.91,-1.39,-28.98,-26.23
294,July-Oct,37.874128,-121.525332,Victoria Canal,-1.15,-27.77,-1.39,-28.91,-26.15
295,July-Oct,37.873446,-121.526947,Victoria Canal,-1.19,-27.45,-1.39,-28.64,-25.78
296,July-Oct,37.872765,-121.528561,Victoria Canal,-1.2,-27.35,-1.38,-28.55,-25.76
297,July-Oct,37.872085,-121.530178,Victoria Canal,-1.14,-27.35,-1.38,-28.5,-25.9
298,July-Oct,37.871407,-121.531795,Victoria Canal,-1.07,-26.99,-1.38,-28.07,-25.4
299,July-Oct,37.870729,-121.533412,Victoria Canal,-1.07,-26.99,-1.38,-28.07,-25.4
300,July-Oct,37.870032,-121.535016,Victoria Canal,-0.99,-27.08,-1.38,-28.07,-25.63
301,July-Oct,37.86932,-121.53661,Victoria Canal,-0.95,-27.05,-1.39,-27.99,-25.67
302,July-Oct,37.868626,-121.538216,Victoria Canal,-0.94,-27.16,-1.4,-28.1,-25.98
303,July-Oct,37.867942,-121.539829,Victoria Canal,-0.98,-27.3,-1.41,-28.29,-26.38
304,July-Oct,37.867259,-121.541443,Victoria Canal,-0.98,-27.3,-1.41,-28.29,-26.38
305,July-Oct,37.866577,-121.543057,Victoria Canal,-1.02,-27.26,-1.43,-28.28,-26.46
306,July-Oct,37.865937,-121.544699,Victoria Canal,-1.07,-27.1,-1.44,-28.16,-26.33
307,July-Oct,37.865266,-121.546319,Victoria Canal,-1.09,-26.93,-1.44,-28.02,-26.14
308,July-Oct,37.864551,-121.547911,Victoria Canal,-1.09,-26.78,-1.43,-27.87,-25.87
309,July-Oct,37.863876,-121.54953,Victoria Canal,-1.1,-26.73,-1.37,-27.83,-25.67
310,July-Oct,37.863204,-121.551151,Victoria Canal,-1.1,-26.5,-1.32,-27.6,-25.31
311,July-Oct,37.862456,-121.55271,Victoria Canal,-1.11,-25.98,-1.25,-27.08,-24.64
312,July-Oct,37.861254,-121.553618,Victoria Canal,-1.1,-25.74,-1.14,-26.84,-24.23
313,July-Oct,37.859854,-121.553903,Victoria Canal,-1.07,-24.04,-0.93,-25.1,-22.29
314,July-Oct,37.890344,-121.48905,Middle River,-0.96,-30.71,-1.25,-31.67,-29
315,July-Oct,37.889241,-121.488017,Middle River,-0.96,-30.71,-1.25,-31.67,-29
316,July-Oct,37.888095,-121.487314,Middle River,-0.99,-31.03,-1.25,-32.02,-29.34
317,July-Oct,37.886732,-121.487422,Middle River,-0.99,-31.03,-1.25,-32.02,-29.34
482,July-Oct,37.912913,-121.563039,Old River,-0.92,-6.05,0.13,-6.97,-5.22
483,July-Oct,37.911567,-121.562487,Old River,-0.86,-4.97,0.13,-5.83,-4.07
484,July-Oct,37.910155,-121.562814,Old River,-0.84,-4.27,0.13,-5.1,-3.32
485,July-Oct,37.909161,-121.564108,Old River,-0.86,-4.33,0.14,-5.19,-3.41
486,July-Oct,37.908323,-121.565601,Old River,-0.88,-4.7,0.13,-5.57,-3.65
487,July-Oct,37.907755,-121.567282,Old River,-0.88,-4.71,0.14,-5.59,-3.63
488,July-Oct,37.907026,-121.568864,Old River,-0.88,-4.7,0.14,-5.57,-3.65
489,July-Oct,37.90628,-121.570434,Old River,-0.89,-6.06,0.13,-6.95,-5.04
490,July-Oct,37.905407,-121.571879,Old River,-0.86,-5.7,0.13,-6.56,-4.74
491,July-Oct,37.904179,-121.572759,Old River,-0.92,-7.75,0.12,-8.67,-6.89
492,July-Oct,37.902869,-121.572219,Old River,-0.92,-7.75,0.12,-8.67,-6.89
493,July-Oct,37.902015,-121.570759,Old River,-1.01,-10.42,0.1,-11.43,-9.43
494,July-Oct,37.901278,-121.569183,Old River,-1.02,-10.89,0.1,-11.92,-9.72
495,July-Oct,37.900336,-121.567797,Old River,-1.06,-12.36,0.09,-13.42,-11.07
496,July-Oct,37.899189,-121.566704,Old River,-1.07,-12.58,0.09,-13.65,-11.18
497,July-Oct,37.897816,-121.566156,Old River,-1.09,-13.24,0.09,-14.33,-11.72
498,July-Oct,37.89638,-121.566222,Old River,-1.11,-13.52,0.08,-14.63,-11.95
499,July-Oct,37.894999,-121.566687,Old River,-1.11,-13.52,0.08,-14.63,-11.95
500,July-Oct,37.893656,-121.567355,Old River,-1.15,-13.74,0.08,-14.88,-12.23
501,July-Oct,37.892289,-121.56781,Old River,-1.23,-13.93,0.07,-15.16,-12.56
502,July-Oct,37.891282,-121.569056,Old River,-1.23,-13.93,0.07,-15.16,-12.56
503,July-Oct,37.890704,-121.570732,Old River,-1.29,-13.99,0.07,-15.28,-12.74
504,July-Oct,37.890274,-121.57248,Old River,-1.36,-14.49,0.06,-15.85,-13.15
505,July-Oct,37.889752,-121.574185,Old River,-1.34,-14.6,0.06,-15.94,-13.03
506,July-Oct,37.888928,-121.575647,Old River,-1.34,-14.6,0.06,-15.94,-13.03
507,July-Oct,37.887568,-121.575995,Old River,-1.27,-15.13,0.07,-16.39,-13.15
508,July-Oct,37.886148,-121.575654,Old River,-1.27,-15.67,0.07,-16.94,-13.85
509,July-Oct,37.884825,-121.574918,Old River,-1.27,-15.67,0.07,-16.94,-13.85
510,July-Oct,37.883614,-121.573941,Old River,-1.23,-16.2,0.09,-17.44,-14.33
511,July-Oct,37.882226,-121.574366,Old River,-1.2,-16.39,0.11,-17.6,-14.58
512,July-Oct,37.880913,-121.575141,Old River,-1.2,-16.39,0.11,-17.6,-14.58
513,July-Oct,37.87965,-121.576039,Old River,-1.17,-16.04,0.14,-17.21,-14.27
514,July-Oct,37.878353,-121.57685,Old River,-1.16,-15.42,0.17,-16.58,-13.75
515,July-Oct,37.877018,-121.577566,Old River,-1.16,-15.42,0.17,-16.58,-13.75
516,July-Oct,37.875662,-121.578214,Old River,-1.15,-14.39,0.2,-15.54,-12.74
517,July-Oct,37.874326,-121.578925,Old River,-1.14,-13.52,0.23,-14.66,-11.97
518,July-Oct,37.872916,-121.579354,Old River,-1.14,-13.52,0.23,-14.66,-11.97
519,July-Oct,37.871509,-121.579792,Old River,-1.12,-12.78,0.26,-13.9,-11.24
520,July-Oct,37.870098,-121.579579,Old River,-1.08,-12.24,0.28,-13.33,-11.05
521,July-Oct,37.869178,-121.5783,Old River,-1.08,-12.24,0.28,-13.33,-11.05
522,July-Oct,37.868336,-121.576824,Old River,-1.07,-12.07,0.29,-13.14,-11.13
523,July-Oct,37.867458,-121.575371,Old River,-1.08,-12.13,0.28,-13.21,-11.25
524,July-Oct,37.866466,-121.574041,Old River,-1.08,-12.13,0.28,-13.21,-11.25
525,July-Oct,37.914235,-121.564205,Old River,-0.94,-6.28,0.15,-7.22,-5.46
526,July-Oct,37.915522,-121.565034,Old River,-1.02,-7.52,0.16,-8.55,-6.85
527,July-Oct,37.915885,-121.566484,Indian Slough,-1.05,-7.72,0.17,-8.77,-7.06
528,July-Oct,37.915758,-121.568308,Indian Slough,-1.06,-7.58,0.18,-8.64,-6.89
529,July-Oct,37.915668,-121.570135,Indian Slough,-1.05,-6.82,0.19,-7.87,-6.11
568,July-Oct,37.91515,-121.514529,Middle River,-0.94,-28.48,-1.44,-29.42,-27.52
569,July-Oct,37.914705,-121.516231,North Victoria Canal,-0.92,-28.39,-1.43,-29.3,-27.4
570,July-Oct,37.914199,-121.517923,North Victoria Canal,-1,-28.25,-1.4,-29.25,-27.19
571,July-Oct,37.913469,-121.519165,North Victoria Canal,-1,-28.25,-1.4,-29.25,-27.19
572,July-Oct,37.913569,-121.520991,North Victoria Canal,-1,-28.05,-1.37,-29.05,-26.9
573,July-Oct,37.913596,-121.522819,North Victoria Canal,-1,-27.72,-1.33,-28.72,-26.5
593,July-Oct,37.913189,-121.559424,North Victoria Canal,-0.93,-6.45,0.06,-7.38,-5.7
594,July-Oct,37.913211,-121.561254,North Victoria Canal,-0.91,-5.9,0.1,-6.81,-5.07
595,July-Oct,37.91346,-121.515881,Middle River,-1,-28.4,-1.42,-29.39,-27.4
596,July-Oct,37.912159,-121.516502,Middle River,-1.09,-28.42,-1.41,-29.52,-27.37
597,July-Oct,37.911279,-121.51519,Middle River,-1.11,-28.63,-1.42,-29.74,-27.65
598,July-Oct,37.910999,-121.513397,Middle River,-1.17,-28.87,-1.43,-30.04,-27.95
599,July-Oct,37.910711,-121.511625,Middle River,-1.23,-29.13,-1.43,-30.36,-28.2
600,July-Oct,37.910554,-121.509808,Middle River,-1.23,-29.13,-1.43,-30.36,-28.2
601,July-Oct,37.909667,-121.508503,Middle River,-1.31,-29.49,-1.42,-30.8,-28.61
602,July-Oct,37.908423,-121.507573,Middle River,-1.3,-29.61,-1.41,-30.91,-28.62
603,July-Oct,37.907165,-121.50667,Middle River,-1.29,-29.75,-1.4,-31.04,-28.81
604,July-Oct,37.90665,-121.505153,Middle River,-1.23,-29.85,-1.39,-31.08,-28.77
605,July-Oct,37.90722,-121.503477,Middle River,-1.18,-29.98,-1.38,-31.17,-28.75
606,July-Oct,37.907372,-121.50179,Middle River,-1.18,-29.98,-1.38,-31.17,-28.75
607,July-Oct,37.906433,-121.5004,Middle River,-1.16,-30.17,-1.37,-31.33,-28.81
608,July-Oct,37.905372,-121.49916,Middle River,-1.13,-30.84,-1.34,-31.97,-29.43
609,July-Oct,37.904404,-121.497814,Middle River,-1.13,-30.84,-1.34,-31.97,-29.43
610,July-Oct,37.903145,-121.496966,Middle River,-1.06,-31.44,-1.32,-32.5,-30
611,July-Oct,37.901697,-121.496896,Middle River,-0.98,-31.67,-1.31,-32.65,-30.23
612,July-Oct,37.900249,-121.496808,Middle River,-0.91,-31.78,-1.3,-32.69,-30.35
613,July-Oct,37.898875,-121.496276,Middle River,-0.91,-31.78,-1.3,-32.69,-30.35
614,July-Oct,37.897902,-121.494952,Middle River,-0.81,-31.71,-1.28,-32.51,-30.16
615,July-Oct,37.897142,-121.493426,Middle River,-0.78,-31.63,-1.27,-32.41,-29.97
616,July-Oct,37.895759,-121.492951,Middle River,-0.78,-31.3,-1.27,-32.09,-29.64
617,July-Oct,37.894383,-121.49238,Middle River,-0.84,-30.8,-1.26,-31.64,-29.22
618,July-Oct,37.89314,-121.491499,Middle River,-0.81,-30.97,-1.26,-31.78,-29.18
619,July-Oct,37.892705,-121.489778,Middle River,-0.81,-30.97,-1.26,-31.78,-29.18
620,July-Oct,37.891579,-121.488884,Middle River,-0.87,-30.97,-1.25,-31.84,-29.09
656,July-Oct,37.931748,-121.527503,Middle River,-0.5,-30.45,-1.36,-30.96,-28.75
657,July-Oct,37.930417,-121.526895,Middle River,-0.5,-30.45,-1.36,-30.96,-28.75
658,July-Oct,37.92902,-121.526404,Middle River,-0.46,-30.04,-1.34,-30.5,-28.08
659,July-Oct,37.927601,-121.526074,Middle River,-0.42,-29.73,-1.33,-30.15,-27.59
660,July-Oct,37.926151,-121.526046,Middle River,-0.39,-29.51,-1.32,-29.91,-27.42
661,July-Oct,37.924701,-121.526094,Middle River,-0.39,-29.51,-1.32,-29.91,-27.42
662,July-Oct,37.923335,-121.525658,Middle River,-0.28,-29.29,-1.36,-29.57,-27.54
663,July-Oct,37.922685,-121.524049,Middle River,-0.28,-29.29,-1.36,-29.57,-27.54
664,July-Oct,37.922273,-121.522293,Middle River,-0.29,-29.01,-1.38,-29.3,-27.57
665,July-Oct,37.921911,-121.520521,Middle River,-0.37,-28.91,-1.41,-29.27,-27.63
666,July-Oct,37.921509,-121.518763,Middle River,-0.49,-28.72,-1.43,-29.22,-27.55
667,July-Oct,37.920877,-121.517151,Middle River,-0.66,-28.49,-1.45,-29.15,-27.34
668,July-Oct,37.91976,-121.516463,Middle River,-0.75,-28.42,-1.44,-29.17,-27.38
669,July-Oct,37.91883,-121.515185,Middle River,-0.87,-28.36,-1.46,-29.22,-27.33
670,July-Oct,37.917631,-121.514155,Middle River,-0.9,-28.41,-1.45,-29.31,-27.42
671,July-Oct,37.916385,-121.513423,Middle River,-0.98,-28.63,-1.45,-29.62,-27.66
672,July-Oct,37.937728,-121.533084,Middle River,-0.64,-31.96,-1.26,-32.61,-30.85
673,July-Oct,37.936379,-121.532585,Middle River,-0.55,-31.87,-1.19,-32.42,-30.69
674,July-Oct,37.935464,-121.531171,Middle River,-0.55,-31.75,-1.28,-32.3,-30.55
675,July-Oct,37.934698,-121.529629,Middle River,-0.59,-31.57,-1.37,-32.16,-30.41
676,July-Oct,37.933503,-121.528618,Middle River,-0.57,-31.1,-1.32,-31.67,-29.74
677,July-Oct,37.937765,-121.531779,Middle River,-0.64,-31.96,-1.26,-32.61,-30.85
678,July-Oct,37.936807,-121.530414,Middle River,-0.64,-31.81,-1.36,-32.46,-30.63
679,July-Oct,37.936065,-121.528847,Middle River,-0.59,-31.57,-1.37,-32.16,-30.41
680,July-Oct,37.935261,-121.527327,Middle River,-0.6,-31.42,-1.47,-32.02,-30.26
681,July-Oct,37.933906,-121.526809,Middle River,-0.54,-30.96,-1.4,-31.51,-29.57
682,July-Oct,37.932856,-121.527455,Middle River,-0.54,-30.96,-1.4,-31.51,-29.57
683,July-Oct,37.940587,-121.55885,Old River,-1.09,-8.4,0.05,-9.48,-6.94
684,July-Oct,37.940649,-121.557021,Old River,-1.16,-8.18,-0.03,-9.33,-6.27
695,July-Oct,37.940579,-121.53688,Old River,-1.4,-31.3,-1.41,-32.7,-31.46
696,July-Oct,37.940566,-121.53505,Old River,-1.25,-31.46,-1.5,-32.7,-31.16
697,July-Oct,37.940624,-121.533229,Middle River,-1.14,-31.33,-1.6,-32.48,-30.67
698,July-Oct,37.939448,-121.532908,Middle River,-0.87,-31.87,-1.39,-32.74,-31.02
699,July-Oct,37.940528,-121.344685,San Joaquin River,5.08,20.96,10.31,26.03,31.85
700,July-Oct,37.939357,-121.343608,San Joaquin River,4.3,33.58,9.89,37.88,44.09
701,July-Oct,37.938884,-121.341949,San Joaquin River,4.3,33.58,9.89,37.88,44.09
702,July-Oct,37.939043,-121.340136,San Joaquin River,4.28,36.35,9.8,40.63,47.02
703,July-Oct,37.939204,-121.338322,San Joaquin River,4.42,37.13,9.61,41.55,48.09
704,July-Oct,37.93887,-121.336569,San Joaquin River,4.6,35.75,9.36,40.35,46.98
705,July-Oct,37.937953,-121.335164,San Joaquin River,4.39,39.53,8.08,43.93,50.75
706,July-Oct,37.936703,-121.334248,San Joaquin River,4.39,39.53,8.08,43.93,50.75
707,July-Oct,37.935723,-121.332965,San Joaquin River,4.12,40.89,6.78,45.01,51.93
708,July-Oct,37.93549,-121.331164,San Joaquin River,4,40.98,6.19,44.99,51.97
709,July-Oct,37.934819,-121.329556,San Joaquin River,3.85,42.35,5.48,46.2,53.27
710,July-Oct,37.933647,-121.328534,San Joaquin River,3.81,44.05,4.99,47.86,54.97
711,July-Oct,37.932295,-121.327878,San Joaquin River,3.81,45.63,4.56,49.44,56.59
712,July-Oct,37.930854,-121.327733,San Joaquin River,3.78,46.54,4.1,50.33,57.53
713,July-Oct,37.929411,-121.327899,San Joaquin River,3.81,46.96,4.21,50.77,57.95
714,July-Oct,37.928086,-121.327383,San Joaquin River,3.8,48.09,3.64,51.88,59.11
715,July-Oct,37.927095,-121.326048,San Joaquin River,3.8,48.09,3.64,51.88,59.11
722,July-Oct,37.951217,-121.336344,San Joaquin River,5.19,-22.04,12.28,-16.85,-12.31
723,July-Oct,37.949836,-121.336085,San Joaquin River,5.27,-13.49,12.16,-8.22,-3.16
724,July-Oct,37.948476,-121.336701,San Joaquin River,5.27,-13.49,12.16,-8.22,-3.16
725,July-Oct,37.947327,-121.337791,San Joaquin River,5.37,-3.46,11.91,1.91,7.33
726,July-Oct,37.9466,-121.339351,San Joaquin River,5.37,-3.46,11.91,1.91,7.33
727,July-Oct,37.945961,-121.340948,San Joaquin River,5.4,6.62,11.48,12.02,17.65
728,July-Oct,37.944685,-121.34181,San Joaquin River,5.59,6.26,11.35,11.85,17.33
729,July-Oct,37.9436,-121.342986,San Joaquin River,5.36,15.44,10.91,20.8,26.53
730,July-Oct,37.942885,-121.34457,San Joaquin River,5.58,13.21,10.73,18.79,24.41
731,July-Oct,37.942084,-121.345926,Rough and Ready Island,5.29,16.45,10.1,21.74,27.45
732,July-Oct,37.952013,-121.335733,San Joaquin River,5.33,-21.91,12.24,-16.58,-11.89
733,July-Oct,37.952094,-121.333904,San Joaquin River,5.33,-21.91,12.24,-16.58,-11.89
734,July-Oct,37.952186,-121.332077,San Joaquin River,5.34,-22,12.2,-16.66,-11.96
735,July-Oct,37.952277,-121.330249,San Joaquin River,5.33,-22.82,12.17,-17.49,-12.85
736,July-Oct,37.952369,-121.328421,San Joaquin River,5.33,-23.98,12.17,-18.64,-14.1
737,July-Oct,37.952461,-121.326594,San Joaquin River,5.31,-27.95,12.21,-22.64,-18.38
738,July-Oct,37.952552,-121.324766,San Joaquin River,5.36,-28.25,12.22,-22.89,-18.68
739,July-Oct,37.952644,-121.322938,San Joaquin River,5.43,-28.48,12.22,-23.05,-18.89
740,July-Oct,37.952735,-121.321111,San Joaquin River,5.5,-28.64,12.23,-23.15,-19.02
741,July-Oct,37.952827,-121.319283,San Joaquin River,5.56,-28.83,12.24,-23.27,-19.18
742,July-Oct,37.952918,-121.317455,San Joaquin River,5.62,-29.07,12.24,-23.45,-19.39
743,July-Oct,37.95301,-121.315627,San Joaquin River,5.67,-29.4,12.24,-23.73,-19.69
744,July-Oct,37.953101,-121.3138,San Joaquin River,5.67,-29.4,12.24,-23.73,-19.69
745,July-Oct,37.952302,-121.338724,San Joaquin River,5.14,-21.95,12.28,-16.81,-12.46
746,July-Oct,37.952647,-121.340497,San Joaquin River,5.11,-27.86,12.2,-22.75,-19.01
747,July-Oct,37.953074,-121.342246,San Joaquin River,4.99,-27.06,12.08,-22.07,-18.38
748,July-Oct,37.953603,-121.34395,San Joaquin River,4.96,-26.6,11.92,-21.64,-17.9
749,July-Oct,37.954084,-121.345667,San Joaquin River,4.96,-26.6,11.92,-21.64,-17.9
750,July-Oct,37.954696,-121.347293,San Joaquin River,4.86,-30.34,11.59,-25.48,-21.82
751,July-Oct,37.955258,-121.348979,San Joaquin River,4.81,-32.47,11.36,-27.66,-24.08
