CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A351	38.437586	-121.506922	North Delta tidal transition zone	Sacramento River	7/1/2021	8.91	0.56	23.70	137.37	7.80	7.95	94.01	1.83	0.30	10.07	1.57	9.94	23.70	137.69	0.07	1.98	3.42	0.00	5.41	27.25	23.57	0.00	18.21	1.32	0.82
A349	38.439613	-121.504289	North Delta tidal transition zone	Sacramento River	7/1/2021	7.70	0.61	23.64	136.66	7.81	7.98	94.16	1.94	0.28	9.98	1.55	9.85	23.64	137.02	0.07	1.94	3.43	0.00	5.38	23.81	39.62	0.00	16.06	1.31	0.83
A347	38.442096	-121.502446	North Delta tidal transition zone	Sacramento River	7/1/2021	7.56	0.65	23.56	137.71	7.82	8.07	95.05	2.27	0.28	9.96	1.56	9.94	23.56	138.11	0.07	1.93	3.48	0.00	5.41	29.23	63.68	0.00	12.01	1.31	0.83
A345	38.444930	-121.501583	North Delta tidal transition zone	Sacramento River	7/1/2021	10.69	0.71	23.53	142.12	7.81	8.11	95.52	2.43	0.31	10.26	1.59	10.44	23.54	142.58	0.07	1.96	3.50	0.00	5.46	35.31	63.57	0.00	13.54	1.33	0.84
A343	38.447837	-121.501431	North Delta tidal transition zone	Sacramento River	7/1/2021	16.28	0.76	23.58	148.76	7.77	8.09	95.40	2.34	0.32	10.83	1.63	11.24	23.58	149.16	0.07	1.99	3.51	0.00	5.50	35.88	63.96	0.01	17.64	1.36	0.84
A341	38.450733	-121.501321	North Delta tidal transition zone	Sacramento River	7/1/2021	16.10	0.75	23.59	147.80	7.77	8.10	95.43	2.31	0.31	10.69	1.62	11.12	23.59	147.84	0.07	1.98	3.51	0.00	5.49	35.83	64.07	0.02	17.21	1.35	0.84
A339	38.453626	-121.501541	North Delta tidal transition zone	Sacramento River	7/1/2021	11.95	0.68	23.58	142.78	7.80	8.14	95.93	2.36	0.31	10.06	1.62	10.47	23.58	142.69	0.07	2.00	3.51	0.00	5.52	36.02	63.88	0.06	12.85	1.31	0.84
A337	38.456474	-121.502254	North Delta tidal transition zone	Sacramento River	7/1/2021	3.83	0.60	23.63	133.28	7.87	8.23	97.08	2.59	0.31	8.90	1.64	9.22	23.63	133.43	0.07	2.05	3.53	0.00	5.58	36.74	63.18	0.07	4.46	1.24	0.84
A335	38.459297	-121.503048	North Delta tidal transition zone	Sacramento River	7/1/2021	1.84	0.73	23.68	131.30	7.89	8.27	97.70	2.78	0.30	8.60	1.69	8.89	23.68	131.70	0.07	2.08	3.52	0.00	5.61	37.00	62.91	0.06	2.59	1.22	0.84
A333	38.462135	-121.503752	North Delta tidal transition zone	Sacramento River	7/1/2021	1.34	1.09	23.78	130.44	7.90	8.28	97.97	2.81	0.27	8.49	1.75	8.67	23.79	131.11	0.07	2.07	3.50	0.00	5.58	37.02	63.07	0.02	2.43	1.22	0.84
A331	38.465013	-121.504276	North Delta tidal transition zone	Sacramento River	7/1/2021	1.59	1.10	23.82	130.39	7.89	8.25	97.72	2.65	0.26	8.55	1.73	8.66	23.83	131.09	0.07	2.06	3.49	0.00	5.55	37.21	62.64	0.00	2.67	1.22	0.83
A329	38.467906	-121.504664	North Delta tidal transition zone	Sacramento River	7/1/2021	1.53	1.14	23.86	129.90	7.90	8.21	97.28	2.27	0.25	8.59	1.69	8.63	23.87	130.80	0.07	2.02	3.49	0.00	5.51	36.58	63.48	0.00	2.67	1.23	0.83
A327	38.470634	-121.505747	North Delta tidal transition zone	Sacramento River	7/1/2021	1.53	1.17	23.88	129.76	7.90	8.20	97.15	2.16	0.24	8.63	1.66	8.61	23.89	130.77	0.07	1.96	3.50	0.00	5.46	35.86	64.65	0.00	2.70	1.23	0.83
A325	38.472518	-121.508468	North Delta tidal transition zone	Sacramento River	7/1/2021	1.48	0.90	23.90	129.75	7.91	8.21	97.36	2.06	0.21	8.79	1.57	8.67	23.90	130.76	0.07	1.78	3.50	0.00	5.28	33.72	67.09	0.00	2.37	1.24	0.82
A313	38.473800	-121.530112	North Delta tidal transition zone	Sacramento River	7/1/2021	1.64	0.67	23.88	128.48	7.89	8.24	97.72	2.04	0.21	8.78	1.56	8.77	23.90	129.52	0.07	1.86	3.47	0.00	5.31	35.01	65.31	0.00	2.28	1.24	0.79
A323	38.473562	-121.511892	North Delta tidal transition zone	Sacramento River	7/1/2021	1.51	0.72	23.88	129.73	7.90	8.22	97.48	2.06	0.21	8.84	1.55	8.72	23.88	130.62	0.07	1.74	3.49	0.00	5.23	33.38	64.55	0.00	2.21	1.24	0.81
A310	38.473907	-121.535636	North Delta tidal transition zone	Sacramento River	7/1/2021	1.58	0.67	23.85	128.34	7.89	8.30	98.38	2.02	0.24	8.63	1.60	8.81	23.86	129.26	0.07	1.88	3.46	0.00	5.34	35.27	64.82	0.00	2.17	1.23	0.80
A315	38.473987	-121.526430	North Delta tidal transition zone	Sacramento River	7/1/2021	1.65	0.66	23.88	128.55	7.89	8.20	97.21	2.02	0.20	8.86	1.55	8.77	23.91	129.58	0.07	1.83	3.46	0.00	5.29	34.76	65.40	0.00	2.29	1.24	0.79
A317	38.474292	-121.522767	North Delta tidal transition zone	Sacramento River	7/1/2021	1.64	0.63	23.89	128.71	7.89	8.17	96.81	1.99	0.19	8.92	1.54	8.78	23.90	129.65	0.07	1.81	3.46	0.00	5.27	34.51	63.16	0.01	2.25	1.25	0.79
A319	38.474427	-121.519083	North Delta tidal transition zone	Sacramento River	7/1/2021	1.58	0.54	23.89	128.93	7.90	8.19	97.17	1.99	0.18	8.94	1.52	8.80	23.91	129.86	0.07	1.79	3.47	0.00	5.26	34.19	43.90	0.00	2.10	1.25	0.80
A321	38.474230	-121.515423	North Delta tidal transition zone	Sacramento River	7/1/2021	1.52	0.49	23.85	129.26	7.90	8.23	97.49	2.02	0.19	8.94	1.51	8.83	23.86	130.07	0.07	1.72	3.48	0.00	5.19	33.14	45.69	0.00	2.00	1.25	0.80
A308	38.474769	-121.539126	North Delta tidal transition zone	Sacramento River	7/1/2021	1.64	0.63	23.85	128.31	7.88	8.25	97.81	1.96	0.24	8.71	1.58	8.81	23.87	129.24	0.07	1.90	3.45	0.00	5.35	35.66	64.68	0.00	2.05	1.23	0.81
A306	38.476146	-121.542371	North Delta tidal transition zone	Sacramento River	7/1/2021	1.71	0.58	23.83	128.29	7.88	8.21	97.30	1.94	0.23	8.83	1.57	8.86	23.85	129.19	0.07	1.86	3.47	0.00	5.33	35.18	65.29	0.00	1.92	1.24	0.81
A304	38.478170	-121.545039	North Delta tidal transition zone	Sacramento River	7/1/2021	1.72	0.55	23.83	128.30	7.88	8.20	97.19	1.95	0.20	8.90	1.56	8.90	23.85	129.19	0.07	1.81	3.47	0.00	5.28	34.67	66.31	0.00	1.87	1.25	0.82
A302	38.480678	-121.546900	North Delta tidal transition zone	Sacramento River	7/1/2021	1.70	0.51	23.85	128.32	7.88	8.20	97.20	1.94	0.15	8.95	1.53	8.92	23.87	129.29	0.07	1.76	3.46	0.00	5.22	30.16	58.19	0.00	1.84	1.25	0.82
A300	38.483095	-121.548888	North Delta tidal transition zone	Sacramento River	7/1/2021	1.66	0.48	23.88	128.37	7.89	8.20	97.29	1.93	0.13	8.98	1.49	8.91	23.91	129.42	0.07	1.75	3.45	0.00	5.19	27.50	44.40	0.00	1.82	1.25	0.83
A298	38.485614	-121.550710	North Delta tidal transition zone	Sacramento River	7/1/2021	1.60	0.44	23.90	128.41	7.89	8.21	97.37	1.97	0.14	9.00	1.48	8.89	23.92	129.47	0.07	1.76	3.45	0.00	5.20	22.42	36.07	0.00	1.81	1.25	0.84
A296	38.488143	-121.552510	North Delta tidal transition zone	Sacramento River	7/1/2021	1.52	0.39	23.85	128.49	7.90	8.22	97.40	2.07	0.18	9.03	1.50	8.90	23.88	129.44	0.07	1.81	3.46	0.00	5.26	25.31	58.40	0.00	1.80	1.25	0.85
A294	38.490646	-121.554369	North Delta tidal transition zone	Sacramento River	7/1/2021	1.49	0.35	23.82	128.50	7.90	8.23	97.46	2.09	0.20	9.06	1.52	8.92	23.84	129.40	0.07	1.84	3.46	0.00	5.30	26.14	63.67	0.00	1.79	1.25	0.86
A292	38.493180	-121.556173	North Delta tidal transition zone	Sacramento River	7/1/2021	1.50	0.33	23.78	128.59	7.90	8.24	97.52	2.10	0.20	9.08	1.53	8.94	23.80	129.39	0.07	1.84	3.46	0.00	5.30	25.56	67.24	0.00	1.79	1.26	0.86
A290	38.495721	-121.558063	North Delta tidal transition zone	Sacramento River	7/1/2021	1.52	0.29	23.68	128.81	7.90	8.27	97.66	2.08	0.21	9.13	1.56	9.00	23.70	129.38	0.07	1.87	3.46	0.00	5.34	20.40	64.70	0.00	1.78	1.26	0.87
A288	38.498447	-121.559110	North Delta tidal transition zone	Sacramento River	7/1/2021	1.52	0.27	23.66	128.92	7.90	8.27	97.66	2.07	0.23	9.14	1.58	8.99	23.69	129.47	0.07	1.88	3.46	0.00	5.35	25.61	64.52	0.00	1.76	1.26	0.87
A286	38.501349	-121.559009	North Delta tidal transition zone	Sacramento River	7/1/2021	1.50	0.26	23.66	129.15	7.90	8.27	97.62	2.07	0.23	9.13	1.57	8.96	23.69	129.73	0.07	1.86	3.46	0.00	5.33	20.26	64.70	0.00	1.74	1.26	0.88
A284	38.504129	-121.558058	North Delta tidal transition zone	Sacramento River	7/1/2021	1.54	0.25	23.64	129.94	7.91	8.28	97.67	2.06	0.22	9.11	1.54	8.95	23.66	130.45	0.07	1.78	3.48	0.00	5.26	23.27	64.97	0.00	1.79	1.26	0.88
A282	38.506827	-121.556716	North Delta tidal transition zone	Sacramento River	7/1/2021	1.56	0.25	23.62	130.30	7.91	8.29	97.74	2.05	0.21	9.10	1.53	8.97	23.64	130.78	0.07	1.75	3.48	0.00	5.23	22.97	65.48	0.00	1.81	1.26	0.88
A280	38.509514	-121.555311	North Delta tidal transition zone	Sacramento River	7/1/2021	1.58	0.25	23.59	130.88	7.92	8.31	97.93	2.04	0.19	9.11	1.50	8.99	23.61	131.26	0.07	1.69	3.48	0.00	5.17	27.45	64.05	0.00	1.83	1.26	0.89
A278	38.512153	-121.553708	North Delta tidal transition zone	Sacramento River	7/1/2021	1.51	0.25	23.58	131.56	7.93	8.35	98.45	2.01	0.13	9.13	1.41	8.98	23.60	131.97	0.07	1.53	3.47	0.00	4.99	28.17	58.37	0.00	1.76	1.26	0.89
A276	38.514111	-121.551112	North Delta tidal transition zone	Sacramento River	7/1/2021	1.48	0.25	23.56	132.13	7.93	8.37	98.66	2.00	0.13	9.15	1.36	8.97	23.58	132.52	0.07	1.47	3.46	0.00	4.92	29.01	47.51	0.00	1.73	1.26	0.89
A274	38.515089	-121.547644	North Delta tidal transition zone	Sacramento River	7/1/2021	1.55	0.25	23.50	133.09	7.93	8.34	98.15	2.03	0.14	9.13	1.33	8.94	23.51	133.32	0.07	1.52	3.46	0.00	4.97	28.51	44.12	0.00	1.80	1.26	0.88
A272	38.515912	-121.544114	North Delta tidal transition zone	Sacramento River	7/1/2021	1.58	0.25	23.47	133.62	7.93	8.30	97.60	2.04	0.12	9.08	1.26	8.89	23.49	133.62	0.07	1.53	3.46	0.00	4.98	27.16	61.46	0.00	1.83	1.25	0.88
A270	38.516576	-121.540556	North Delta tidal transition zone	Sacramento River	7/1/2021	1.58	0.25	23.49	133.58	7.93	8.29	97.50	2.05	0.10	9.05	1.24	8.87	23.51	133.57	0.07	1.51	3.46	0.00	4.97	28.24	65.65	0.00	1.83	1.25	0.88
A268	38.516971	-121.536897	North Delta tidal transition zone	Sacramento River	7/1/2021	1.60	0.25	23.50	133.04	7.92	8.28	97.43	2.08	0.08	9.01	1.20	8.84	23.53	132.99	0.07	1.47	3.46	0.00	4.93	30.07	57.45	0.00	1.85	1.25	0.87
A266	38.517114	-121.533202	North Delta tidal transition zone	Sacramento River	7/1/2021	1.64	0.25	23.50	132.18	7.92	8.27	97.41	2.07	0.08	9.00	1.18	8.82	23.53	132.07	0.07	1.43	3.46	0.00	4.89	29.45	55.63	0.00	1.89	1.25	0.86
A264	38.517476	-121.529518	North Delta tidal transition zone	Sacramento River	7/1/2021	1.65	0.25	23.53	131.43	7.92	8.27	97.38	2.01	0.07	9.01	1.16	8.81	23.55	131.39	0.07	1.38	3.49	0.00	4.88	29.43	71.54	0.00	1.86	1.25	0.86
A262	38.518533	-121.526073	North Delta tidal transition zone	Sacramento River	7/1/2021	1.59	0.25	23.46	130.42	7.92	8.26	97.15	2.06	0.07	9.06	1.18	8.88	23.47	130.18	0.07	1.36	3.52	0.00	4.89	28.71	52.72	0.00	1.80	1.26	0.84
A260	38.520866	-121.524064	North Delta tidal transition zone	Sacramento River	7/1/2021	1.53	0.24	23.35	129.70	7.92	8.26	96.98	2.15	0.10	9.09	1.22	8.95	23.36	129.13	0.07	1.36	3.54	0.00	4.90	25.92	36.50	0.00	1.77	1.26	0.82
A258	38.523342	-121.525793	North Delta tidal transition zone	Sacramento River	7/1/2021	1.48	0.24	23.32	129.35	7.92	8.26	96.92	2.19	0.12	9.09	1.23	8.98	23.33	128.77	0.07	1.39	3.52	0.00	4.90	24.21	46.20	0.00	1.76	1.26	0.82
A256	38.525339	-121.528465	North Delta tidal transition zone	Sacramento River	7/1/2021	1.44	0.24	23.36	128.77	7.91	8.27	97.01	2.14	0.11	9.08	1.24	8.94	23.38	128.36	0.07	1.44	3.49	0.00	4.91	26.12	51.39	0.00	1.77	1.26	0.83
A254	38.527691	-121.530580	North Delta tidal transition zone	Sacramento River	7/1/2021	1.43	0.24	23.35	128.21	7.91	8.27	97.02	2.13	0.12	9.06	1.24	8.91	23.37	127.84	0.07	1.46	3.48	0.00	4.93	28.84	52.82	0.00	1.75	1.25	0.83
A252	38.530434	-121.530507	North Delta tidal transition zone	Sacramento River	7/1/2021	1.43	0.24	23.26	127.46	7.91	8.29	97.11	2.27	0.14	9.04	1.26	8.91	23.27	126.82	0.07	1.46	3.52	0.00	4.98	29.23	72.94	0.00	1.70	1.25	0.83
A250	38.532139	-121.527613	North Delta tidal transition zone	Sacramento River	7/1/2021	1.41	0.24	23.18	126.76	7.91	8.36	97.74	2.45	0.17	8.95	1.30	8.88	23.20	125.87	0.06	1.48	3.56	0.00	5.03	28.68	73.15	0.00	1.66	1.25	0.80
A248	38.533344	-121.524278	North Delta tidal transition zone	Sacramento River	7/1/2021	1.40	0.24	23.20	126.56	7.91	8.37	97.93	2.39	0.16	8.93	1.31	8.86	23.21	125.77	0.06	1.50	3.55	0.00	5.04	28.42	71.99	0.00	1.64	1.25	0.79
A246	38.534619	-121.520922	North Delta tidal transition zone	Sacramento River	7/1/2021	1.34	0.24	23.19	126.13	7.91	8.41	98.45	2.44	0.18	8.90	1.32	8.83	23.20	125.31	0.06	1.52	3.56	0.00	5.08	28.84	68.16	0.00	1.59	1.24	0.75
A244	38.536239	-121.517964	North Delta tidal transition zone	Sacramento River	7/1/2021	1.27	0.25	23.10	125.90	7.92	8.46	98.79	2.72	0.21	8.93	1.34	8.90	23.11	124.94	0.06	1.49	3.59	0.00	5.08	28.72	52.76	0.00	1.52	1.25	0.72
A242	38.538283	-121.515312	North Delta tidal transition zone	Sacramento River	7/1/2021	1.24	0.25	23.07	125.77	7.92	8.45	98.59	2.62	0.20	8.96	1.33	8.97	23.08	124.73	0.06	1.43	3.59	0.00	5.02	28.18	49.60	0.00	1.50	1.25	0.71
A240	38.540594	-121.513191	North Delta tidal transition zone	Sacramento River	7/1/2021	1.24	0.28	23.08	125.70	7.92	8.42	98.21	2.39	0.17	9.01	1.30	9.01	23.09	124.75	0.06	1.35	3.57	0.00	4.93	27.16	57.46	0.00	1.52	1.25	0.70
A238	38.543148	-121.511439	North Delta tidal transition zone	Sacramento River	7/1/2021	1.25	0.31	23.10	125.69	7.92	8.39	97.90	2.17	0.12	9.07	1.27	9.05	23.14	124.94	0.06	1.27	3.56	0.00	4.84	26.08	74.48	0.00	1.56	1.26	0.70
A236	38.545963	-121.511518	North Delta tidal transition zone	Sacramento River	7/1/2021	1.32	0.30	23.11	125.73	7.92	8.35	97.55	2.08	0.13	9.15	1.27	9.10	23.15	125.04	0.06	1.27	3.54	0.00	4.82	26.41	67.97	0.00	1.61	1.26	0.71
A234	38.548763	-121.512516	North Delta tidal transition zone	Sacramento River	7/1/2021	1.32	0.26	23.10	125.83	7.92	8.33	97.39	2.11	0.16	9.19	1.29	9.14	23.13	124.83	0.06	1.34	3.54	0.00	4.88	27.38	47.45	0.00	1.60	1.26	0.73
A232	38.551553	-121.513507	North Delta tidal transition zone	Sacramento River	7/1/2021	1.30	0.25	23.11	125.83	7.92	8.32	97.19	2.09	0.17	9.20	1.31	9.14	23.13	124.89	0.06	1.38	3.54	0.00	4.91	27.99	49.10	0.00	1.58	1.26	0.74
A230	38.554373	-121.514365	North Delta tidal transition zone	Sacramento River	7/1/2021	1.24	0.25	23.13	125.92	7.91	8.28	96.77	2.03	0.16	9.24	1.32	9.15	23.14	124.81	0.06	1.44	3.53	0.00	4.97	28.97	61.04	0.00	1.56	1.26	0.78
A228	38.557157	-121.515387	North Delta tidal transition zone	Sacramento River	7/1/2021	1.26	0.26	23.12	125.89	7.91	8.27	96.69	2.03	0.16	9.23	1.33	9.14	23.14	125.10	0.06	1.44	3.54	0.00	4.98	28.90	70.19	0.00	1.57	1.26	0.78
A226	38.559790	-121.516888	North Delta tidal transition zone	Sacramento River	7/1/2021	1.33	0.26	23.04	126.38	7.92	8.31	96.95	2.23	0.21	9.21	1.44	9.22	23.06	125.63	0.06	1.45	3.57	0.00	5.01	28.87	70.87	0.00	1.58	1.26	0.81
A224	38.561683	-121.520018	North Delta tidal transition zone	Sacramento River	7/1/2021	1.33	0.27	23.02	126.79	7.92	8.32	97.01	2.24	0.22	9.28	1.47	9.30	23.04	125.12	0.07	1.45	3.57	0.00	5.02	28.91	69.14	0.02	1.58	1.27	0.83
A222	38.564517	-121.520985	North Delta tidal transition zone	Sacramento River	7/1/2021	1.32	0.27	22.93	127.59	7.92	8.36	97.39	2.43	0.26	9.27	1.56	9.35	22.95	125.80	0.07	1.49	3.59	0.00	5.07	29.30	70.62	0.01	1.58	1.27	0.86
A220	38.567256	-121.520363	North Delta tidal transition zone	Sacramento River	7/1/2021	1.31	0.27	22.90	127.98	7.92	8.39	97.61	2.52	0.27	9.25	1.55	9.33	22.91	126.27	0.07	1.50	3.60	0.00	5.10	29.39	70.80	0.01	1.58	1.27	0.86
A218	38.569496	-121.518006	North Delta tidal transition zone	Sacramento River	7/1/2021	1.34	0.27	22.89	127.60	7.93	8.42	97.92	2.59	0.26	9.08	1.48	9.14	22.90	127.80	0.07	1.47	3.61	0.00	5.07	28.96	70.57	0.00	1.58	1.25	0.81
A216	38.571678	-121.515594	North Delta tidal transition zone	Sacramento River	7/1/2021	1.33	0.27	22.87	127.61	7.93	8.43	98.03	2.61	0.26	9.02	1.48	9.07	22.89	128.46	0.07	1.48	3.61	0.00	5.09	29.12	69.74	0.00	1.57	1.25	0.80
A1131	38.095349	-122.030172	Suisun Bay	Grizzly Bay	7/1/2021	14.63	1.62	20.46	21077.02	7.99	8.17	97.74	31.26	3.04	28.36	4.48	34.00	20.43	19585.37	12.89	2.75	5.29	2.31	10.33	26.55	47.78	22.10	15.76	2.43	3.20
A1114	38.106981	-122.020042	Suisun Bay	Grizzly Bay	7/1/2021	14.44	0.78	20.19	21587.96	8.08	8.43	100.43	18.30	3.40	29.25	5.38	33.64	20.17	20163.40	13.41	3.03	5.14	2.57	10.75	28.19	51.21	23.86	14.64	2.49	3.19
A4994	38.020645	-121.518975	Central Delta tidal zone	Middle River	7/1/2021	4.81	0.25	24.99	518.15	8.02	8.06	97.64	5.58	4.37	40.07	7.41	41.56	24.99	534.25	0.26	5.59	13.57	1.39	20.59	27.18	65.87	6.77	5.06	3.15	2.99
A3619	38.026248	-121.833116	Western Delta tidal zone	San Joaquin River	7/1/2021	6.79	2.91	21.06	7969.13	7.87	8.15	93.88	8.19	2.96	29.99	5.17	32.06	21.02	7715.41	4.66	2.53	4.85	1.96	9.35	27.09	51.91	20.93	9.71	2.54	2.57
A3580	38.024226	-121.762664	Western Delta tidal zone	San Joaquin River	7/1/2021	4.31	1.72	21.71	3812.10	7.99	8.02	92.31	7.75	2.70	29.10	4.92	30.78	21.68	3687.28	2.09	1.95	7.24	1.88	11.08	17.59	65.29	17.03	6.03	2.49	2.45
A3569	38.031443	-121.776843	Western Delta tidal zone	San Joaquin River	7/1/2021	4.73	0.92	21.57	4630.88	7.98	8.14	93.65	6.85	2.94	29.20	5.31	30.87	21.52	4593.84	2.65	2.07	6.93	2.41	11.43	18.29	60.49	21.09	5.65	2.49	2.50
A3571	38.030502	-121.780238	Western Delta tidal zone	San Joaquin River	7/1/2021	5.18	0.74	21.49	5224.46	7.96	8.20	94.42	6.43	2.96	29.27	5.36	30.88	21.45	5169.24	3.01	2.24	6.00	2.22	10.46	21.59	57.25	21.17	5.93	2.49	2.51
A4975	38.041284	-121.527701	Central Delta tidal zone	Middle River	7/1/2021	5.67	0.26	24.98	509.77	8.22	8.43	102.09	6.37	4.28	36.07	7.24	37.66	24.99	525.26	0.25	5.71	16.79	1.31	23.80	24.02	70.60	5.52	5.93	2.91	2.82
A4779	38.052500	-121.460072	Central Delta tidal zone	Disappointment Slough	7/1/2021	7.91	1.85	25.99	420.70	7.56	6.65	81.82	3.14	4.72	54.03	8.16	55.94	25.94	440.64	0.21	6.99	5.41	1.36	13.75	50.81	39.38	9.90	9.79	4.01	3.25
A4907	38.054990	-121.655622	Central Delta tidal zone	False River	7/1/2021	2.88	0.25	24.40	942.19	8.91	9.51	114.07	7.15	5.53	30.68	8.75	31.11	24.47	967.24	0.48	6.33	30.39	1.86	38.49	16.55	78.81	4.92	3.24	2.58	2.39
A4909	38.055149	-121.651923	Central Delta tidal zone	False River	7/1/2021	2.97	0.25	24.36	890.66	8.90	9.53	114.19	7.50	5.14	30.62	8.17	31.01	24.43	909.26	0.46	5.89	28.05	1.65	35.54	16.83	78.87	4.64	3.17	2.58	2.37
A4912	38.055805	-121.646504	Central Delta tidal zone	False River	7/1/2021	3.02	0.27	24.39	818.28	8.91	9.83	117.82	8.35	4.68	30.37	7.50	31.00	24.44	826.04	0.41	5.38	24.89	1.31	31.58	17.02	78.75	4.17	3.09	2.57	2.36
A4395	38.059787	-121.582220	Central Delta tidal zone	Old River	7/1/2021	3.67	0.31	25.15	597.41	8.83	9.37	113.81	7.04	6.08	33.23	9.56	34.05	25.18	617.10	0.31	7.39	35.51	1.42	44.36	16.87	79.57	3.47	3.97	2.74	2.35
A814	38.058774	-121.859108	Western Delta tidal zone	Sacramento River	7/1/2021	7.79	2.04	21.32	8582.06	7.96	8.09	93.93	17.47	2.66	29.16	4.45	32.20	21.31	8165.76	4.92	2.86	5.40	1.57	9.80	29.15	54.89	16.05	9.83	2.49	2.62
A866	38.058485	-121.945257	Suisun Bay	Honker Bay	7/1/2021	10.86	4.45	20.80	14305.08	7.97	8.26	96.88	16.51	2.79	29.55	4.45	32.87	20.78	13457.95	8.52	2.71	4.96	1.75	9.42	28.70	52.67	18.56	15.28	2.51	2.95
A868	38.057232	-121.949078	Suisun Bay	Honker Bay	7/1/2021	10.71	4.83	20.81	14104.45	7.97	8.26	96.87	15.34	2.80	29.64	4.64	32.78	20.78	13303.48	8.42	2.68	4.87	1.83	9.39	28.51	51.93	19.48	15.54	2.52	2.96
A872	38.056926	-121.956344	Suisun Bay	Honker Bay	7/1/2021	10.87	6.04	20.82	14306.59	7.97	8.27	97.02	14.50	2.88	29.71	4.74	32.66	20.79	13491.38	8.54	2.75	4.86	2.02	9.63	28.52	50.50	20.99	16.91	2.52	2.86
A875	38.056449	-121.962079	Suisun Bay	Honker Bay	7/1/2021	11.26	5.97	20.80	14741.65	7.97	8.26	97.06	16.11	2.98	29.50	4.86	32.67	20.78	13874.21	8.81	2.76	4.88	2.10	9.73	28.33	50.10	21.56	17.23	2.51	2.81
A877	38.056694	-121.965877	Suisun Bay	Honker Bay	7/1/2021	11.37	5.59	20.74	15016.01	7.97	8.30	97.43	16.21	3.13	29.51	5.06	32.72	20.73	14176.74	9.03	2.71	4.81	2.32	9.84	27.52	48.90	23.52	16.96	2.50	2.81
A881	38.056691	-121.973157	Suisun Bay	Suisun Bay	7/1/2021	11.22	6.10	20.65	14866.14	7.96	8.38	98.25	9.46	3.12	29.99	5.35	32.67	20.63	13989.36	8.92	2.69	4.53	2.74	9.98	26.96	45.45	27.44	17.32	2.54	2.84
A884	38.056943	-121.978405	Suisun Bay	Suisun Bay	7/1/2021	11.64	5.89	20.66	15702.17	7.95	8.38	98.60	9.57	2.84	29.94	4.92	32.71	20.62	15005.79	9.63	2.45	4.53	2.30	9.29	26.36	48.88	24.62	17.54	2.53	2.87
A4383	38.072749	-121.571510	Central Delta tidal zone	Old River	7/1/2021	7.12	0.84	24.47	589.36	8.30	8.21	98.56	7.72	4.08	31.08	7.19	32.98	24.42	595.60	0.29	5.37	18.52	2.02	25.94	20.77	70.78	8.21	7.92	2.60	2.30
A3494	38.081580	-121.681090	Central Delta tidal zone	San Joaquin River	7/1/2021	5.65	0.84	22.77	2024.88	8.10	8.08	94.35	9.61	2.71	27.06	5.01	28.96	22.74	1980.64	1.06	2.62	8.32	1.53	12.48	21.02	66.63	12.29	6.49	2.36	2.34
A4874	38.085517	-121.645780	Central Delta tidal zone	Fishermans Cut	7/1/2021	5.81	0.97	24.04	1048.52	8.26	8.43	100.47	9.23	3.67	28.34	6.29	29.81	24.03	1045.52	0.53	3.93	13.80	1.67	19.46	20.56	70.18	8.86	7.07	2.44	2.31
A1017	38.082218	-122.076685	Suisun Bay	Suisun Bay	7/1/2021	15.81	2.19	20.21	21933.18	7.96	7.93	94.71	59.62	4.67	29.79	6.92	37.72	20.19	20443.75	13.61	2.70	5.25	3.63	11.57	23.95	44.86	31.35	18.25	2.52	3.30
A3622	38.093158	-121.576492	Central Delta tidal zone	San Joaquin River	7/1/2021	7.47	0.79	24.26	616.44	8.18	8.02	95.87	8.21	3.36	29.54	6.06	31.37	24.20	616.82	0.30	4.74	13.97	1.06	19.71	24.07	70.84	5.39	8.26	2.51	2.23
A1110	38.115222	-122.022760	Suisun Bay	Grizzly Bay	7/1/2021	14.86	1.07	20.09	22073.91	8.08	8.38	99.87	17.17	3.45	29.72	5.52	34.30	20.05	20518.24	13.71	3.12	5.13	2.74	10.98	28.39	34.87	24.95	15.22	2.52	3.20
A2367	38.239136	-121.682376	Cache Slough complex	Prospect Slough	7/1/2021	1.73	0.08	22.11	222.22	8.51	8.50	97.48	6.53	1.61	23.23	2.88	24.17	22.27	215.74	0.05	2.85	4.76	0.25	7.86	36.26	60.81	2.80	3.17	2.12	1.94
