Timestamp (PST) DS	Station Abbrev. DS	Station ID DS	Chla Rmk DS	Chla (ug/L) DS	Pheophytin Rmk DS	Pheophytin (ug/L) DS	5 micron Chla Rmk DS	5 micron Chla (ug/L) DS	5 micron Pheophytin Rmk DS	5 micron Pheophytin (ug/L) DS	NH4 Rmk DS	NH4 (mg-N/L) DS lab reported	NO2 Rmk DS	NO2 (mg-N/L) DS lab reported	NO2 + NO3 Rmk DS	NO2 + NO3 (mg-N/L) DS lab reported	PO4 Rmk DS	PO4 (mg-P/L) DS lab reported	TDN Rmk DS	TDN (mg-N/L) DS lab reported	NH4 (uM) DS	NO2 (uM) DS	NO2 + NO3 (uM) DS	PO4 (uM) DS	TDN (uM) DS	estDIN (uM) DS	DOC Rmk DS	DOC (mg-C/L) DS	Peak fDOM Rmk DS	Peak fDOM (RU) DS	UV Slope Ratio Rmk DS	UV Slope Ratio	A254 Rmk DS	A254 (AU/cm) DS	A280 Rmk DS	A280 (AU/cm) DS	A370 Rmk DS	A370 (AU/cm) DS	A412 Rmk DS	A412 (AU/cm) DS	A440 Rmk DS	A440 (AU/cm) DS	Sag 275-295 nm Rmk DS	Sag 275-295 nm DS	Sag 290-350 nm Rmk DS	Sag 290-350 nm DS	Sag 350-400 nm Rmk DS	Sag 350-400 nm DS	Sag 412-676 nm Rmk DS	Sag 412-676 nm DS	Peak A Rmk DS	Peak A (RU) DS	Peak B Rmk DS	Peak B (RU) DS	Peak C Rmk DS	Peak C (RU) DS	Peak D Rmk DS	Peak D (RU) DS	Peak M Rmk DS	Peak M (RU) DS	Peak N Rmk DS	Peak N (RU) DS	Peak T Rmk DS	Peak T (RU) DS	FI Rmk DS	FI DS	HIX Rmk DS	HIX DS	Picophytoplankton PC-Rich Prolate Spheroid Aliquot (mL) DS	Picophytoplankton PC-Rich Prolate Spheroid Tally DS	Picophytoplankton PC-Rich Prolate Spheroid Density (cells/mL) DS	Picophytoplankton PC-Rich Prolate Spheroid Total Biovolume (um3/mL) DS	Picophytoplankton PC-Rich Sphere Aliquot (mL) DS	Picophytoplankton PC-Rich Sphere Tally DS	Picophytoplankton PC-Rich Sphere Density (cells/mL) DS	Picophytoplankton PC-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Aliquot (mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Tally DS	Picophytoplankton PE-Rich Prolate Spheroid Density (cells/mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Rod Aliquot (mL) DS	Picophytoplankton PE-Rich Rod Tally DS	Picophytoplankton PE-Rich Rod Density (cells/mL) DS	Picophytoplankton PE-Rich Rod Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Sphere Aliquot (mL) DS	Picophytoplankton PE-Rich Sphere Tally DS	Picophytoplankton PE-Rich Sphere Density (cells/mL) DS	Picophytoplankton PE-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton Total Tally DS	Picophytoplankton Total Density (cells/mL)  DS	Picophytoplankton Total Biovolume (um3/mL) DS
5/11/2021 14:33	16	20210511-16										0.04		0.002		0.301		0.069			2.73	0.14	21.49	2.22		24.22																																																																	
5/11/2021 14:39	17	20210511-17										0.04		0.002		0.300		0.070			2.54	0.16	21.42	2.25		23.96																																																																	
5/11/2021 15:04	18	20210511-18										0.03		0.002		0.308		0.068			2.23	0.17	21.99	2.20		24.22																																																																	
5/11/2021 15:15	19	20210511-19										0.03		0.003		0.295		0.071			2.33	0.18	21.06	2.28		23.39																																																																	
5/11/2021 15:20	20	20210511-20										0.03		0.005		0.251		0.082			2.20	0.33	17.92	2.66		20.12																																																																	
5/11/2021 15:26	21	20210511-21										0.03		0.005		0.233		0.081			2.37	0.33	16.63	2.60		19.00																																																																	
5/11/2021 15:30	LIB	11455315		4.6		3.0		4.0		2.6		0.04		0.005		0.210		0.079		0.37	2.86	0.36	14.99	2.55	26.41	17.85		1.9		0.124		2.3		0.044		0.0318	E	0.0063	E	0.0030	E	0.0020		0.0185		0.0186		0.0180		0.0124		0.3617		0.0642		0.1750		0.0726		0.1922		0.1535		0.1345		1.522		0.7862						18	361.91	1299.76										150	3015.93	808.52	168	3377.84	2108.27
5/11/2021 15:49	22	20210511-22									<	0.02		0.005		0.169		0.073			0.36	0.35	12.06	2.35		12.42																																																																	
5/11/2021 16:00	SSB	11455276		5.6		1.8		1.9		0.8	<	0.02		0.004		0.060		0.114		0.25	0.71	0.29	4.28	3.68	17.85	5.00		3.8		0.248		2.6		0.098		0.0724		0.0148		0.0072	E	0.0045		0.0175		0.0183		0.0169		0.0146		0.6829		0.0346		0.3490		0.1428		0.3809		0.2792		0.1976		1.484		0.8568																		58	1166.16	388.38	58	1166.16	388.38
5/11/2021 16:27	23	20210511-23										0.02		0.005		0.057		0.181			1.63	0.33	4.07	5.84		5.70																																																																	
5/11/2021 16:35	SS	382010121402301		3.1		1.6		1.0		0.6		0.03		0.003		0.060		0.181		0.37	2.14	0.21	4.28	5.84	26.41	6.43		4.0		0.314		2.6		0.104		0.0766		0.0157		0.0074	E	0.0047		0.0177		0.0179		0.0175		0.0144		0.8103		0.1529		0.4520		0.1731		0.4442		0.3249		0.2354		1.575		0.8374						24	482.55	1473.52										392	7881.63	2275.39	416	8364.18	3748.91
5/11/2021 16:48	24	20210511-24										0.02		0.002		0.034		0.127			1.55	0.16	2.43	4.10		3.98																																																																	
5/11/2021 16:52	25	20210511-25									<	0.02		0.002		0.048		0.089			0.36	0.16	3.43	2.88		3.79																																																																	
5/11/2021 16:57	26	20210511-26										0.04		0.006		0.183		0.087			2.90	0.41	13.06	2.80		15.96																																																																	
5/11/2021 17:10	CCH41	11455385		2.6		2.0		1.8		1.3		0.03		0.005		0.220		0.085		0.37	2.14	0.36	15.71	2.74	26.41	17.85		1.8		0.116		2.3		0.041		0.0295	E	0.0057	E	0.0027	E	0.0018		0.0186		0.0189		0.0176		0.0121		0.3273		0.0548		0.1630		0.0654		0.1747		0.1453		0.1242		1.487	<	0.8070						104	2091.04	5379.08										434	8726.09	2339.31	538	10817.14	7718.40
5/12/2021 9:45	3MSJ	380504121405601										0.02		0.003		0.270		0.072		0.49	1.43	0.21	19.28	2.32	34.98	20.70																																																																	
5/12/2021 9:58	2	20210512-02									<	0.02		0.003		0.252		0.065			0.36	0.20	17.99	2.09		18.35																																																																	
5/12/2021 10:03	3	20210512-03									<	0.02		0.004		0.190		0.053			0.36	0.27	13.56	1.72		13.92																																																																	
5/12/2021 10:08	4	20210512-04									<	0.02		0.004		0.132		0.047			0.36	0.30	9.42	1.52		9.78																																																																	
5/12/2021 10:14	5	20210512-05									<	0.02		0.005		0.105		0.044			0.36	0.33	7.50	1.40		7.86																																																																	
5/12/2021 10:20	PPT	11313460		36.7		7.9		22.3		6.7	<	0.02		0.006		0.090		0.043		0.31	0.71	0.43	6.43	1.39	22.13	7.14		3.3		0.282		2.8		0.093		0.0671		0.0136	E	0.0065	E	0.0042		0.0176		0.0180		0.0176		0.0139		0.8574		0.0432		0.4040		0.1651		0.4280		0.2917		0.1914		1.537		0.8873																		258	5187.40	1609.85	258	5187.40	1609.85
5/12/2021 10:47	6	20210512-06									<	0.02		0.006		0.094		0.044			0.36	0.43	6.71	1.43		7.07																																																																	
5/12/2021 10:55	SJW	380131121280501		11.8		2.0		26.0		8.5	<	0.02		0.007		0.220		0.062		0.48	0.71	0.50	15.71	2.00	34.27	16.42		4.1		0.339		2.7		0.109		0.0791		0.0162		0.0077	E	0.0050		0.0174		0.0179		0.0175		0.0140		0.9903		0.0493		0.4820		0.1964		0.5101		0.3476		0.2057		1.501		0.8813						2	40.21	168.44										584	11742.02	3147.83	586	11782.23	3316.27
5/12/2021 11:19	7	20210512-07									<	0.02		0.008		0.604		0.113			0.36	0.55	43.12	3.65		43.48																																																																	
5/12/2021 11:30	TRN	11311300		4.3		1.3		8.1		2.6	<	0.02		0.009		1.140		0.188		1.51	0.71	0.64	81.38	6.07	107.80	82.10		4.6		0.388		2.6		0.119		0.0856		0.0166		0.0077	E	0.0050		0.0176		0.0187		0.0181		0.0139		1.1250		0.0812		0.5680		0.2157		0.6074		0.4095		0.2736		1.541		0.8708						206	4141.88	12647.74										448	9007.58	3438.22	654	13149.45	16085.96
5/12/2021 11:55	8	20210512-08										0.03		0.013		1.350		0.250			1.87	0.93	96.52	8.07		98.39																																																																	
5/12/2021 12:00	SJRBC	375831121223701		2.8		1.4		0.9		0.6		0.03		0.018		1.620		0.335		2.02	2.14	1.29	115.65	10.81	144.21	117.79		3.5		0.266		2.3		0.079		0.0572		0.0105	E	0.0047	E	0.0033		0.0184		0.0197		0.0186		0.0125		0.7426		0.0787		0.3970		0.1409		0.4271		0.3126		0.2422		1.628		0.8270						166	3337.63	11986.63										494	9932.46	3544.08	660	13270.09	15530.71
5/12/2021 12:35	9	20210512-09										0.09		0.027		2.110		0.411			6.63	1.91	150.85	13.27		157.48																																																																	
5/12/2021 12:50	SJRST	375649121202101		2.3		2.3		1.9		2.2		0.09		0.028		2.040		0.385		2.53	6.43	2.00	145.64	12.43	180.62	152.06		3.3		0.273		2.2		0.073		0.0534		0.0104	E	0.0049	E	0.0034		0.0173		0.0188		0.0180		0.0124		0.6686		0.0908		0.4020		0.1432		0.4091		0.3073		0.2420		1.678		0.8146																		172	3458.27	927.10	172	3458.27	927.10
5/12/2021 13:32	10	20210512-10										0.03		0.017		1.380		0.303			2.28	1.21	98.52	9.78		100.80																																																																	
5/12/2021 13:44	11	20210512-11										0.04		0.008		0.736		0.222			2.46	0.58	52.54	7.17		55.00																																																																	
5/12/2021 13:50	14MILE	380232121241801		6.1		2.5		1.6		0.7	<	0.02		0.002		0.040		0.139		0.44	0.71	0.14	2.86	4.49	31.41	3.57				0.402		2.6		0.145		0.1044		0.0209		0.0098	E	0.0063		0.0178		0.0182		0.0178		0.0143		1.2470		0.0738		0.5850		0.2301		0.6586		0.4634		0.3163		1.533		0.8637						74	1487.86	5343.44										328	6594.83	2046.63	402	8082.69	7390.07
5/12/2021 14:23	12	20210512-12									<	0.02		0.004		0.048		0.094			0.36	0.31	3.43	3.04		3.79																																																																	
5/12/2021 14:30	13	20210512-13									<	0.02		0.007		0.117		0.074			0.36	0.50	8.35	2.38		8.71																																																																	
5/12/2021 14:44	14	20210512-14									<	0.02		0.007		0.129		0.054			0.36	0.47	9.21	1.73		9.57																																																																	
5/12/2021 14:48	15	20210512-15									<	0.02		0.006		0.077		0.044			0.36	0.40	5.50	1.40		5.86																																																																	
5/12/2021 14:53	16	20210512-16									<	0.02		0.006		0.073		0.043			0.36	0.40	5.21	1.38		5.57																																																																	
5/12/2021 14:56	17	20210512-17									<	0.02		0.005		0.085		0.044			0.36	0.35	6.07	1.42		6.43																																																																	
5/12/2021 15:04	18	20210512-18									<	0.02		0.005		0.176		0.061			0.36	0.32	12.56	1.98		12.92																																																																	
5/12/2021 15:10	GAM	380749121344701		1.8		0.7		0.6		0.2	<	0.02		0.004		0.230		0.067		0.42	0.71	0.29	16.42	2.16	29.98	17.13		1.7		0.090		2.0		0.033		0.0235	E	0.0047	E	0.0024	E	0.0020		0.0193		0.0185		0.0173		0.0091		0.2386		0.0743		0.1260		0.0505		0.1343		0.1107		0.1183		1.525		0.7611						44	884.67	2275.77										228	4584.21	1228.95	272	5468.89	3504.71
5/12/2021 15:48	19	20210512-19										0.04		0.002		0.250		0.072			2.68	0.17	17.85	2.32		20.53																																																																	
5/12/2021 16:01	20	20210512-20										0.04		0.002		0.265		0.076			2.71	0.17	18.92	2.44		21.63																																																																	
5/12/2021 16:09	21	20210512-21										0.04		0.002		0.289		0.081			2.87	0.17	20.63	2.60		23.50																																																																	
5/12/2021 16:13	22	20210512-22										0.04		0.002		0.274		0.077			2.80	0.16	19.56	2.48		22.36																																																																	
5/12/2021 16:18	23	20210512-23										0.04		0.002		0.193		0.070			2.94	0.14	13.78	2.24		16.72																																																																	
5/12/2021 16:26	24	20210512-24										0.04		0.002		0.222		0.078			3.02	0.14	15.85	2.51		18.87																																																																	
5/12/2021 16:39	25	20210512-25										0.04		0.002		0.206		0.072			2.76	0.12	14.71	2.31		17.47																																																																	
5/12/2021 16:50	WGC	381330121332401										0.04		0.002		0.170		0.066		0.31	2.86	0.14	12.14	2.13	22.13	14.99																																																																	
5/13/2021 8:20	SJS	380500121351901									<	0.02		0.004		0.160		0.050		0.44	0.71	0.29	11.42	1.61	31.41	12.14																																																																	
5/13/2021 8:39	2	20210513-02									<	0.02		0.005		0.097		0.048			0.36	0.35	6.92	1.54		7.28																																																																	
5/13/2021 8:45	3	20210513-03									<	0.02		0.004		0.217		0.068			0.36	0.30	15.49	2.20		15.85																																																																	
5/13/2021 8:51	4	20210513-04										0.03		0.004		0.244		0.072			1.86	0.30	17.42	2.31		19.28																																																																	
5/13/2021 8:55	NMR	380837121333401		5.4		3.5		2.4		1.4		0.03		0.004		0.250		0.071		0.40	2.14	0.29	17.85	2.29	28.56	19.99		1.6		0.091		2.1		0.033		0.0234	E	0.0046	E	0.0023	E	0.0017		0.0192		0.0190		0.0171		0.0089		0.2425		0.0383		0.1300		0.0519		0.1406		0.1055		0.1010		1.502	<	0.7988																		254	5106.97	1474.36	254	5106.97	1474.36
5/13/2021 9:14	5	20210513-05										0.03		0.004		0.205		0.069			2.03	0.31	14.63	2.24		16.66																																																																	
5/13/2021 9:18	6	20210513-06									<	0.02		0.003		0.120		0.064			0.36	0.21	8.57	2.05		8.93																																																																	
5/13/2021 9:22	7	20210513-07									<	0.02	<	0.001		0.025		0.046			0.36	0.04	1.78	1.49		2.14																																																																	
5/13/2021 9:30	NFM	11336685		3.9		1.3		5.3		2.5	<	0.02	<	0.001		0.020		0.032		0.22	0.71	0.04	1.43	1.03	15.71	2.14		2.9		0.209		2.4		0.071		0.0520		0.0106	E	0.0051	E	0.0035		0.0178		0.0180		0.0175		0.0121		0.6165		0.0461		0.3060		0.1229		0.3077		0.2139		0.1522		1.503		0.8621						78	1568.28	4034.31										542	10897.56	2921.44	620	12465.84	6955.76
5/13/2021 10:06	8	20210513-08									<	0.02	<	0.001		0.021		0.033			0.36	0.04	1.50	1.06		1.86																																																																	
5/13/2021 10:16	9	20210513-09									<	0.02	<	0.001		0.022		0.030			0.36	0.04	1.57	0.97		1.93																																																																	
5/13/2021 10:20	10	20210513-10									<	0.02	<	0.001		0.013		0.029			0.36	0.04	0.93	0.95		1.29																																																																	
5/13/2021 10:25	11	20210513-11									<	0.02	<	0.001	<	0.010		0.023			0.36	0.04	0.36	0.75		0.72																																																																	
5/13/2021 10:30	12	20210513-12									<	0.02	<	0.001	<	0.010		0.020			0.36	0.04	0.36	0.65		0.72																																																																	
5/13/2021 10:36	13	20210513-13									<	0.02	<	0.001	<	0.010		0.019			0.36	0.04	0.36	0.62		0.72																																																																	
5/13/2021 10:41	14	20210513-14									<	0.02	<	0.001	<	0.010		0.022			0.36	0.04	0.36	0.72		0.72																																																																	
5/13/2021 10:45	SMS	380831121301301		6.6		3.1		8.8		5.5	<	0.02	<	0.001	<	0.010		0.024		0.24	0.71	0.04	0.36	0.77	17.13	1.07		2.5		0.198		2.5		0.064		0.0467		0.0104	E	0.0052	E	0.0035		0.0171		0.0170		0.0164		0.0117		0.5618		0.0456		0.2720		0.1188		0.2847		0.2023		0.1520		1.526	<	0.8646						102	2050.83	4398.34										432	8685.88	3315.43	534	10736.71	7713.76
5/13/2021 11:05	SYC	380831121281201		7.6		2.8		1.8		1.1	<	0.02	<	0.001	<	0.010		0.017		0.22	0.71	0.04	0.36	0.55	15.71	1.07		3.2		0.230		2.5		0.082		0.0594		0.0124	E	0.0060	E	0.0040		0.0177		0.0177		0.0174		0.0120		0.6697		0.0727		0.3290		0.1318		0.3601		0.2635		0.1850		1.510		0.8552						166	3337.63	13980.62										494	9932.46	3544.08	660	13270.09	17524.69
5/13/2021 11:24	15	20210513-15									<	0.02	<	0.001	<	0.010		0.031			0.36	0.04	0.36	0.99		0.72																																																																	
5/13/2021 11:35	16	20210513-16									<	0.02	<	0.001	<	0.010		0.041			0.36	0.04	0.36	1.34		0.72																																																																	
5/13/2021 11:40	LPS	11336790		18.6		6.6		9.8		4.3	<	0.02	<	0.001	<	0.010		0.036		0.17	0.71	0.04	0.36	1.16	12.14	1.07		2.3		0.175		2.5		0.057		0.0420		0.0092	E	0.0047	E	0.0033		0.0173		0.0172		0.0162		0.0111		0.4621		0.0603		0.2380		0.1037		0.2514		0.1815		0.1545		1.531		0.8442						58	1166.16	3561.01										264	5308.04	2026.09	322	6474.20	5587.11
5/13/2021 12:03	17	20210513-17									<	0.02	<	0.001	<	0.010		0.024			0.36	0.04	0.36	0.78		0.72																																																																	
5/13/2021 12:13	18	20210513-18									<	0.02		0.002		0.032		0.019			0.36	0.17	2.28	0.62		2.64																																																																	
5/13/2021 12:17	19	20210513-19									<	0.02		0.005		0.054		0.037			0.36	0.36	3.86	1.20		4.22																																																																	
5/13/2021 12:22	20	20210513-20									<	0.02		0.006		0.053		0.039			0.36	0.40	3.78	1.27		4.14																																																																	
5/13/2021 12:27	21	20210513-21									<	0.02		0.006		0.061		0.041			0.36	0.39	4.35	1.34		4.71																																																																	
5/13/2021 12:30	MRH	11312685		45.0		14.8		11.6		8.6	<	0.02		0.006		0.080		0.045		0.34	0.71	0.43	5.71	1.45	24.27	6.43		4.3		0.347		2.7		0.116		0.0828		0.0167		0.0079	E	0.0052		0.0175		0.0180		0.0178		0.0130		1.0420		0.0467		0.4970		0.2026		0.5285		0.3503		0.2277		1.545	<	0.8864						30	603.19	1551.66										434	8726.09	2906.12	464	9329.28	4457.78
5/13/2021 12:50	22	20210513-22									<	0.02		0.006		0.096		0.050			0.36	0.46	6.85	1.62		7.21																																																																	
5/13/2021 12:54	23	20210513-23									<	0.02		0.007		0.211		0.060			0.36	0.48	15.06	1.94		15.42																																																																	
5/13/2021 13:00	24	20210513-24									<	0.02		0.006		0.265		0.068			0.36	0.43	18.92	2.21		19.28																																																																	
5/13/2021 13:05	25	20210513-25									<	0.02		0.006		0.290		0.072			0.36	0.42	20.70	2.33		21.06																																																																	
5/13/2021 13:10	MRB	11312674		5.3		4.3		0.6		0.7	<	0.02		0.006		0.290		0.072		0.62	0.71	0.43	20.70	2.32	44.26	21.42				0.458		2.8		0.147		0.1048		0.0204		0.0094	E	0.0062		0.0175		0.0184		0.0185		0.0134		1.4240		0.0273		0.6770		0.2624		0.7137		0.4648		0.2718		1.515		0.9007																		112	2251.89	749.97	112	2251.89	749.97
5/13/2021 13:35	26	20210513-26									<	0.02		0.006		0.299		0.077			0.36	0.44	21.35	2.49		21.71																																																																	
5/13/2021 13:40	27	20210513-27									<	0.02		0.006		0.307		0.076			0.36	0.45	21.92	2.45		22.28																																																																	
5/13/2021 13:45	28	20210513-28									<	0.02		0.006		0.306		0.080			0.36	0.45	21.85	2.57		22.21																																																																	
5/13/2021 13:50	ORCC	11313250		6.5		5.0		0.9		0.9		0.02		0.008		0.300		0.091		0.68	1.43	0.57	21.42	2.94	48.55	22.84		5.6		0.484		2.8		0.155		0.1108		0.0217		0.0099	E	0.0065		0.0175		0.0184		0.0184		0.0134		1.5030		0.0394		0.7150		0.2799		0.7398		0.4868		0.2879		1.522		0.9005						4	80.42	336.88										352	7077.38	2196.39	356	7157.81	2533.27
5/13/2021 14:14	29	20210513-29										0.03		0.008		0.328		0.091			1.97	0.57	23.42	2.92		25.39																																																																	
5/13/2021 14:20	ORI	11313325		3.9		3.3		0.9		1.0		0.03		0.005		0.230		0.076		0.58	2.14	0.36	16.42	2.45	41.41	18.56		5.0		0.424		2.8		0.140		0.0998		0.0195		0.0090	E	0.0060		0.0175		0.0185		0.0183		0.0128		1.2960		0.0289		0.6260		0.2446		0.6519		0.4219		0.2615		1.508	<	0.9021						122	2452.96	8809.45										450	9047.79	3228.41	572	11500.75	12037.86
5/13/2021 14:38	30	20210513-30										0.03		0.004		0.219		0.071			2.06	0.32	15.63	2.28		17.69																																																																	
5/13/2021 14:44	31	20210513-31										0.03		0.004		0.208		0.068			1.91	0.32	14.85	2.20		16.76																																																																	
5/13/2021 14:47	OBI	11313405		3.9		3.1		0.7		0.7		0.02		0.004		0.190		0.066		0.49	1.43	0.29	13.56	2.13	34.98	14.99		4.4		0.345		2.8		0.120		0.0861		0.0170		0.0081	E	0.0056		0.0177		0.0184		0.0179		0.0113		1.0790		0.0237		0.5110		0.2003		0.5332		0.3697		0.2178		1.483		0.8879																		274	5509.10	1476.89	274	5509.10	1476.89
5/13/2021 15:00	32	20210513-32										0.03		0.004		0.178		0.067			1.83	0.32	12.71	2.17		14.54																																																																	
5/13/2021 15:04	33	20210513-33										0.02		0.004		0.167		0.061			1.50	0.26	11.92	1.97		13.42																																																																	
5/13/2021 15:10	ORF	380300121344801		10.9		3.9		7.8		2.6	<	0.02		0.004		0.120		0.057		0.36	0.71	0.29	8.57	1.84	25.70	9.28		3.7		0.282		2.7		0.101		0.0725		0.0146		0.0071	E	0.0051		0.0178		0.0182		0.0174		0.0106		0.8472		0.0568		0.4050		0.1615		0.4386		0.2997		0.1996		1.489	<	0.8788																		126	5066.76	679.15	126	5066.76	679.15
5/13/2021 15:26	34	20210513-34									<	0.02		0.005		0.101		0.054			0.36	0.32	7.21	1.75		7.57																																																																	
5/13/2021 15:32	35	20210513-35									<	0.02		0.005		0.068		0.048			0.36	0.33	4.85	1.54		5.21																																																																	
5/13/2021 15:37	36	20210513-36									<	0.02		0.004		0.083		0.049			0.36	0.31	5.93	1.59		6.29																																																																	
